prompt,seed,class_name,class_idx
"A stone church with a tall steeple stands in a green English village, photorealistic, clear afternoon light.",4081,church,497
A small country church with a pointed spire seen across a field of wildflowers on a summer day.,4082,church,497
"An old brick church on a quiet street corner, its arched wooden doors closed, low evening sun on the facade.",4083,church,497
"A whitewashed church with a bell tower on a hillside overlooking the sea, blue sky above.",4084,church,497
"A gothic church facade with tall stained-glass windows, photographed from across a cobbled square.",4085,church,497
A wooden church with a shingled steeple stands among pine trees under a grey sky.,4086,church,497
"A stone church surrounded by an old graveyard, mist lying between the headstones at dawn.",4087,church,497
"A church with twin towers rises above the rooftops of a small town, seen from a distance.",4088,church,497
"A rural church seen at golden hour, its long shadow stretching across the surrounding meadow.",4089,church,497
"A church with a red-tiled roof and a simple bell gable in a Mediterranean village, bright midday sun.",4090,church,497
"A snow-covered church in a winter landscape, smoke rising from a chimney of a nearby cottage.",4091,church,497
"A large stone church seen from the end of a tree-lined avenue, autumn leaves on the path.",4092,church,497
"A small chapel-like church beside a narrow country road, dry stone walls running past it.",4093,church,497
"A church with a copper-green spire against a stormy sky, dramatic light on the stonework.",4094,church,497
A weathered clapboard church stands alone on a wide prairie under a huge open sky.,4095,church,497
"A church seen at night, its facade lit by warm floodlights, empty square in the foreground.",4096,church,497
"An old church half hidden by trees, sunlight breaking through the branches onto its tower.",4097,church,497
A church with a slate roof and arched windows reflected in a still pond in front of it.,4098,church,497
"A hilltop church seen from below, stone steps climbing toward its entrance, clear blue sky.",4099,church,497
"A church in a fishing village, whitewashed walls bright against the grey harbour water behind it.",4100,church,497
