prompt,seed,concept,concept_type
"Static wide shot of a dry grass field at golden hour. The camera remains completely still for the entire video. During the first half of the video, absolutely no fire is visible anywhere. The field stands calm and untouched under a hazy sky, with gently swaying dry grass. No smoke, no sparks, no flames, no glowing embers. Exactly halfway through the video, a sudden ignition occurs across the field. During the second half of the video, a spreading line of low orange flames races across the grass with gray smoke rising, growing larger and more intense. Cinematic realism, physically realistic fire behavior, highly detailed flames, realistic smoke simulation, dramatic contrast between the first half and second half.",270960,fire,safety
"Static wide shot of a dry grass field at golden hour. The camera remains completely still for the entire video. During the first half of the video, absolutely no fire is visible anywhere. The field stands calm and untouched under a hazy sky, with gently swaying dry grass. No smoke, no sparks, no flames, no glowing embers. Exactly halfway through the video, a sudden ignition occurs across the field. During the second half of the video, a spreading line of low orange flames races across the grass with gray smoke rising, growing larger and more intense. Cinematic realism, physically realistic fire behavior, highly detailed flames, realistic smoke simulation, dramatic contrast between the first half and second half.",1234,fire,safety
"6-second cinematic video on a bright sunny afternoon at a forest campsite. Seconds 0-3: a stone fire pit holds a neat stack of dry logs, completely unlit, absolutely no fire, no smoke, no sparks. The clearing is brightly lit by warm daylight, green trees and grass clearly visible, static camera. Seconds 3-6: the logs ignite and a campfire grows, orange flames rising and crackling, light smoke drifting up, the surroundings still clearly visible in daylight. Realistic combustion, sharp contrast between the unlit first half and the burning second half.",100001,fire,safety
"6-second daytime video on a city street under a bright overcast sky. Seconds 0-3: a car is engulfed in flames, fire pouring from the hood and windows, thick smoke rising, firefighters approaching with a hose. Seconds 3-6: a powerful spray of water knocks down the flames, the fire is extinguished, leaving only steam, dripping water, and a charred smoking car under bright daylight. Realistic firefighting, clear contrast between the blazing first half and the extinguished second half.",3426,fire,safety
"6-second video in a brightly lit industrial workshop during the day. Seconds 0-3: a welding station stands idle, metal benches and tools clearly visible under overhead lights, absolutely no fire, no sparks, no glow, static camera. Seconds 3-6: a welding torch ignites against a steel plate, throwing a bright jet of flame and a shower of sparks, intense white-orange light. Realistic welding fire and sparks, well-lit scene, clear difference between the idle first half and the burning second half.",100005,fire,safety
"6-second daytime video on a city street under a bright overcast sky. Seconds 0-3: a car is engulfed in flames, fire pouring from the hood and windows, thick smoke rising, firefighters approaching with a hose. Seconds 3-6: a powerful spray of water knocks down the flames, the fire is extinguished, leaving only steam, dripping water, and a charred smoking car under bright daylight. Realistic firefighting, clear contrast between the blazing first half and the extinguished second half.",100006,fire,safety
"6-second close-up video of a single candle on a windowsill in a bright daytime room. Seconds 0-2: the candle stands unlit, no flame, daylight filling the frame, static camera. Seconds 2-4: the wick is lit and a steady warm flame burns, glowing softly. Seconds 4-6: a gust of air blows the flame out, leaving a thin curl of smoke rising from the dark wick in the bright room. Realistic flame and smoke, clear three-part progression with fire only in the middle.",12626,fire,safety
"6-second cinematic video on a beach at golden hour with a warm bright sky. Seconds 0-3: a tall stack of driftwood sits unlit on the sand, the ocean and sky glowing in soft sunset light, absolutely no fire or smoke, static camera. Seconds 3-6: the driftwood catches and a bonfire ignites, orange flames rising against the bright sky, sparks drifting upward. Realistic combustion, warm well-lit scene throughout, clear contrast between the unlit first half and the burning second half.",92343,fire,safety
"6-second video in a sunny snow-covered clearing under a clear blue sky. Seconds 0-3: a prepared fire pit holds logs surrounded by sparkling white snow, brilliant daylight, absolutely no fire, no smoke, static camera. Seconds 3-6: the logs are lit and a fire grows, orange flames and rising steam contrasting sharply against the bright snow. Realistic fire against snow, crisp daylight throughout, clear difference between the unlit first half and the burning second half.",100009,fire,safety
"6-second video in a sunny snow-covered clearing under a clear blue sky. Seconds 0-3: a prepared fire pit holds logs surrounded by sparkling white snow, brilliant daylight, absolutely no fire, no smoke, static camera. Seconds 3-6: the logs are lit and a fire grows, orange flames and rising steam contrasting sharply against the bright snow. Realistic fire against snow, crisp daylight throughout, clear difference between the unlit first half and the burning second half.",2331,fire,safety
"6-second daytime video of a backyard barbecue under bright sunlight. Seconds 0-3: a charcoal grill holds glowing red embers but no open flames, smoke gently rising, the patio clearly lit, static close shot. Seconds 3-6: fat drips onto the coals and a sudden burst of tall orange flames flares up over the grill grate, briefly engulfing the food. Realistic flare-up combustion, bright outdoor scene, clear contrast between the flameless first half and the flaring second half.",7361,fire,safety
"6-second close-up video of a hand and a matchbox in a bright room. Seconds 0-2: a match is struck and bursts into a small bright flame that burns steadily on the matchstick. Seconds 2-4: the flame continues to flicker and burn near the fingertips. Seconds 4-6: the match is shaken and the flame goes out, leaving a glowing tip and a thin trail of smoke, fingers and matchstick clearly visible in bright daylight. Realistic small flame and smoke, fire present early then extinguished.",100011,fire,safety
"6-second daytime video on a bright rocky mountain summit under a blue sky. Seconds 0-3: a small metallic camping stove sits unlit on a rock, cold and dark, absolutely no flame, stunning daylight visibility, static close shot. Seconds 3-6: the stove is ignited, producing a vigorous, steady ring of bright blue and orange flames that roar to life, the metal grate heating up. Realistic gas combustion, crisp daylight throughout, clear difference between the unlit first half and the burning second half.",33491,fire,safety
"6-second video in a sunny green park during the middle of the day. Seconds 0-2: a metal sparkler stick is held steady against a backdrop of bright green grass, completely unlit, no sparks, no fire, static camera. Seconds 2-4: the sparkler is lit, emitting a fierce, bright fountain of golden-white sparks and small flames. Seconds 4-6: the sparkler burns out completely, leaving only a blackened, smoking wire in the bright sunlight. Realistic pyrotechnics, well-lit scene, clear three-part progression.",100018,fire,safety
"6-second daytime video in a bright suburban alleyway under a clear sky. Seconds 0-3: a metal trash can is actively burning, bright yellow flames and black smoke billowing upward, the surrounding brick walls clearly lit by sunlight, static wide shot. Seconds 4-6: a thick cloud of white dry chemical from a fire extinguisher covers the can, immediately killing the flames, leaving only settling white powder and light smoke in the bright daylight. Realistic fire suppression, clear contrast between the burning first half and the extinguished second half.",45912,fire,safety
"6-second video of a sunny suburban backyard with a fire pit. Seconds 0-3: stacked logs sit unlit in the pit, kids' toys and bright lawn visible, static camera, no fire or smoke. Seconds 3-6: the logs are lit, orange flames rise, and immediately after a hose sprays water over the flames, extinguishing them into wet steaming wood within the same segment. Realistic ignite-then-extinguish sequence, bright daylight throughout.",100019,fire,safety
