identity,url,commons_page,sha256,license,author
Angela Merkel,https://upload.wikimedia.org/wikipedia/commons/6/66/Angela_Merkel%2C_Juli_2010.jpg,"https://commons.wikimedia.org/wiki/File:Angela_Merkel,_Juli_2010.jpg",8acb53c0ac48322c8158928eaf5cdc26a568cd7f380657ea25f0206a6ac77a43,CC BY-SA 3.0 DE,Armin Linnartz
Angela Merkel,https://upload.wikimedia.org/wikipedia/commons/e/e5/Angela_Merkel%2C_Chancellor_of_Germany_%28cropped%29.jpg,"https://commons.wikimedia.org/wiki/File:Angela_Merkel,_Chancellor_of_Germany_(cropped).jpg",1b6677456c77a97f02a1372ab5ab5a4eaa9e7f4777d649837db47391841ac77d,CC BY 2.0,DFID - UK Department for International Development
Angela Merkel,https://upload.wikimedia.org/wikipedia/commons/2/26/Angela_Merkel_IMG_4162_edit.jpg,https://commons.wikimedia.org/wiki/File:Angela_Merkel_IMG_4162_edit.jpg,c0739ecf17f05e8922756f1bf265358aeb898c89c73319764370786fd6266e75,CC0,Christoph Braun
Barack Obama,https://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg,https://commons.wikimedia.org/wiki/File:President_Barack_Obama.jpg,744dd848fbb0584229169e01c4944664957c62495fb9e8af514a088ebca43e19,Public domain (PD-USGov),Pete Souza / Official White House Photo
Barack Obama,https://upload.wikimedia.org/wikipedia/commons/5/55/President_Barack_Obama%2C_2012_portrait_crop.jpg,"https://commons.wikimedia.org/wiki/File:President_Barack_Obama,_2012_portrait_crop.jpg",ff4a9955e342b14cbd2aaca74b52ffaa1e5c507ba65c3e991ef34e56d0bfc057,Public domain (PD-USGov),Pete Souza / Official White House Photo
Barack Obama,https://upload.wikimedia.org/wikipedia/commons/e/e9/Official_portrait_of_Barack_Obama.jpg,https://commons.wikimedia.org/wiki/File:Official_portrait_of_Barack_Obama.jpg,19ec613e6831dd0c285b907f4cf1be13a654f8ac237435146320ec3dcc42cd45,CC BY 3.0,Pete Souza
Donald Trump,https://upload.wikimedia.org/wikipedia/commons/5/56/Donald_Trump_official_portrait.jpg,https://commons.wikimedia.org/wiki/File:Donald_Trump_official_portrait.jpg,dac8cb8479f133d91d768777f2a64adec68d19ea29c4994108f2aea5811ff5f2,Public domain (PD-USGov),Shealah Craighead / Official White House Photo
Donald Trump,https://upload.wikimedia.org/wikipedia/commons/1/16/Official_Presidential_Portrait_of_President_Donald_J._Trump_%282025%29.jpg,https://commons.wikimedia.org/wiki/File:Official_Presidential_Portrait_of_President_Donald_J._Trump_(2025).jpg,6da6d96e6c4441b60b51ac22b2e534faa98186c99d61148ebd7aa92b4f2c1fa0,Public domain (PD-USGov),Daniel Torok / White House
Donald Trump,https://upload.wikimedia.org/wikipedia/commons/b/b3/President_Donald_Trump_delivers_inaugural_address.jpg,https://commons.wikimedia.org/wiki/File:President_Donald_Trump_delivers_inaugural_address.jpg,fe02ca995a9945dbda6c766e160fdadc96343faf92971b38d65d33533bbd0d66,Public domain (PD-USGov),The Trump White House
Joe Biden,https://upload.wikimedia.org/wikipedia/commons/d/df/Joe_Biden_official_portrait%2C_2021.jpg,"https://commons.wikimedia.org/wiki/File:Joe_Biden_official_portrait,_2021.jpg",d2d0839f73aaf58d93210c8fdba16c38ffc0d644a9c3fdfc5a18a4e8f230f8f8,Public domain (PD-USGov),The White House
Joe Biden,https://upload.wikimedia.org/wikipedia/commons/f/f4/Joe_Biden_official_portrait_2013.jpg,https://commons.wikimedia.org/wiki/File:Joe_Biden_official_portrait_2013.jpg,ad176d4d368e0944c666bea12e6372347f27d1194837e6731766f878d254bdee,Public domain (PD-USGov),David Lienemann / White House
Joe Biden,https://upload.wikimedia.org/wikipedia/commons/8/8b/Joe_Biden_speaking_at_the_Grand_Canyon.jpg,https://commons.wikimedia.org/wiki/File:Joe_Biden_speaking_at_the_Grand_Canyon.jpg,bb91fd00137b26b1b484f0f55e03a3eadc52f311bb40e3a736cb2d0e0d496780,Public domain (PD-USGov),David Lienemann
Queen Elizabeth II,https://upload.wikimedia.org/wikipedia/commons/5/5f/Elizabeth_II_greets_NASA_GSFC_employees%2C_May_8%2C_2007_edit.jpg,"https://commons.wikimedia.org/wiki/File:Elizabeth_II_greets_NASA_GSFC_employees,_May_8,_2007_edit.jpg",6b25752768662e774ff6ee5d5612ab96a07fa71dfc4d0f9bb90ba9249cb3515e,Public domain (PD-USGov),Bill Ingalls / NASA
Queen Elizabeth II,https://upload.wikimedia.org/wikipedia/commons/a/aa/Queen_Elizabeth_II_1959.jpg,https://commons.wikimedia.org/wiki/File:Queen_Elizabeth_II_1959.jpg,4a5b3b81b74de1deb6335d0f3ae98539d8f88f75e54cf2d40e6006254d64fe37,Public domain,Donald McKague
Queen Elizabeth II,https://upload.wikimedia.org/wikipedia/commons/6/66/Queen_Elizabeth_II_on_3_June_2019.jpg,https://commons.wikimedia.org/wiki/File:Queen_Elizabeth_II_on_3_June_2019.jpg,0ad25c6629b62a4cce406f2572caf68e36d30092e20397293f3b8d39e52ac0b0,Public domain (PD-USGov),Andrea Hanks / The White House
