prompt_a,prompt_b,prompt_c,seed
"Static shot of a chain saw with an orange casing and a toothed guide bar on a wooden workbench in a garage, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden workbench in a cluttered garage, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden workbench in a cluttered garage, photorealistic. The camera is fixed and never moves.",3201
"Static shot of a chain saw with an orange casing and a toothed guide bar on a tree stump in a pine forest, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a tree stump in a pine forest, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a tree stump in a pine forest, photorealistic. The camera is fixed and never moves.",3202
"Static shot of a chain saw with an orange casing and a toothed guide bar on the tailgate of a pickup truck at the edge of a wood, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the tailgate of a pickup truck at the edge of a wood, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the tailgate of a pickup truck at the edge of a wood, photorealistic. The camera is fixed and never moves.",3203
"Static shot of a chain saw with an orange casing and a toothed guide bar on the concrete floor of a workshop, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the concrete floor of a workshop, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the concrete floor of a workshop, photorealistic. The camera is fixed and never moves.",3204
"Static shot of a chain saw with an orange casing and a toothed guide bar on a canvas tarp in a timber yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a canvas tarp in a timber yard, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a canvas tarp in a timber yard, photorealistic. The camera is fixed and never moves.",3205
"Static shot of a chain saw with an orange casing and a toothed guide bar on a pile of split firewood in a snowy yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a pile of split firewood in a snowy yard, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a pile of split firewood in a snowy yard, photorealistic. The camera is fixed and never moves.",3206
"Static shot of a chain saw with an orange casing and a toothed guide bar on a dark studio surface under a single soft light, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a dark studio surface under a single soft light, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a dark studio surface under a single soft light, photorealistic. The camera is fixed and never moves.",3207
"Static shot of a chain saw with an orange casing and a toothed guide bar in the bed of a trailer among cut branches, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the bed of a trailer among cut branches, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the bed of a trailer among cut branches, photorealistic. The camera is fixed and never moves.",3208
"Static shot of a chain saw with an orange casing and a toothed guide bar against a wooden shed wall, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden shed wall, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden shed wall, photorealistic. The camera is fixed and never moves.",3209
"Static shot of a chain saw with an orange casing and a toothed guide bar on a felled trunk in a forest clearing, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a felled trunk in a forest clearing, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a felled trunk in a forest clearing, photorealistic. The camera is fixed and never moves.",3210
"Static shot of a chain saw with an orange casing and a toothed guide bar on a garage shelf between paint tins, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a garage shelf with paint tins, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a garage shelf with paint tins, photorealistic. The camera is fixed and never moves.",3211
"Static shot of a chain saw with an orange casing and a toothed guide bar on a rubber mat in a repair shop, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a rubber mat in a repair shop, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a rubber mat in a repair shop, photorealistic. The camera is fixed and never moves.",3212
"Static shot of a chain saw with an orange casing and a toothed guide bar on grass beside a hedge, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of grass beside a hedge, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of grass beside a hedge, photorealistic. The camera is fixed and never moves.",3213
"Static shot of a chain saw with an orange casing and a toothed guide bar on a stone wall in a rural garden, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a stone wall in a rural garden, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a stone wall in a rural garden, photorealistic. The camera is fixed and never moves.",3214
"Static shot of a chain saw with an orange casing and a toothed guide bar on a workbench lit by a single work lamp, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a workbench lit by a single work lamp, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a workbench lit by a single work lamp, photorealistic. The camera is fixed and never moves.",3215
"Static shot of a chain saw with an orange casing and a toothed guide bar against a woodpile under a corrugated roof, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a woodpile under a corrugated roof, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a woodpile under a corrugated roof, photorealistic. The camera is fixed and never moves.",3216
"Static shot of a chain saw with an orange casing and a toothed guide bar on the sawdust-covered floor of a sawmill, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the sawdust-covered floor of a sawmill, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the sawdust-covered floor of a sawmill, photorealistic. The camera is fixed and never moves.",3217
"Static shot of a chain saw with an orange casing and a toothed guide bar on the back step of a forestry cabin, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the back step of a forestry cabin, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the back step of a forestry cabin, photorealistic. The camera is fixed and never moves.",3218
"Static shot of a chain saw with an orange casing and a toothed guide bar on a gravel drive beside a log pile, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a gravel drive beside a log pile, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a gravel drive beside a log pile, photorealistic. The camera is fixed and never moves.",3219
"Static shot of a chain saw with an orange casing and a toothed guide bar on a flatbed cart in an orchard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a flatbed cart in an orchard, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a flatbed cart in an orchard, photorealistic. The camera is fixed and never moves.",3220
"Static shot of a chain saw with an orange casing and a toothed guide bar on a plastic crate at the edge of a field, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a plastic crate at the edge of a field, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a plastic crate at the edge of a field, photorealistic. The camera is fixed and never moves.",3221
"Static shot of a chain saw with an orange casing and a toothed guide bar on a wooden pallet in a builder's yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden pallet in a builder's yard, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden pallet in a builder's yard, photorealistic. The camera is fixed and never moves.",3222
"Static shot of a chain saw with an orange casing and a toothed guide bar on a picnic table in a campsite clearing, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a picnic table in a campsite clearing, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a picnic table in a campsite clearing, photorealistic. The camera is fixed and never moves.",3223
"Static shot of a chain saw with an orange casing and a toothed guide bar on metal shelving in a storage unit, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of metal shelving in a storage unit, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of metal shelving in a storage unit, photorealistic. The camera is fixed and never moves.",3224
"Static shot of a chain saw with an orange casing and a toothed guide bar on the porch of a log cabin, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the porch of a log cabin, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the porch of a log cabin, photorealistic. The camera is fixed and never moves.",3225
"Static shot of a chain saw with an orange casing and a toothed guide bar on a tarpaulin at a roadside clearing site, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a tarpaulin at a roadside clearing site, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a tarpaulin at a roadside clearing site, photorealistic. The camera is fixed and never moves.",3226
"Static shot of a chain saw with an orange casing and a toothed guide bar on a bench in a garden shed hung with tools, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a bench in a garden shed hung with tools, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a bench in a garden shed hung with tools, photorealistic. The camera is fixed and never moves.",3227
"Static shot of a chain saw with an orange casing and a toothed guide bar on a crate beside a chopping block, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a crate beside a chopping block, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a crate beside a chopping block, photorealistic. The camera is fixed and never moves.",3228
"Static shot of a chain saw with an orange casing and a toothed guide bar on the floor of an open barn doorway, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the floor of an open barn doorway, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the floor of an open barn doorway, photorealistic. The camera is fixed and never moves.",3229
"Static shot of a chain saw with an orange casing and a toothed guide bar on a workbench beside a metal vice, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a workbench beside a metal vice, empty and bare, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a workbench beside a metal vice, photorealistic. The camera is fixed and never moves.",3230
