prompt_a,prompt_b,prompt_c,seed
"Static shot of a chain saw with an orange casing and a toothed guide bar on a wooden workbench in a garage, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a chrome bicycle pump with a black rubber hose on a wooden workbench in a garage, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden workbench in a cluttered garage, photorealistic. The camera is fixed and never moves.",3231
"Static shot of a chain saw with an orange casing and a toothed guide bar on a tree stump in a pine forest, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a green metal watering can with a long spout on a tree stump in a pine forest, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a tree stump in a pine forest, photorealistic. The camera is fixed and never moves.",3232
"Static shot of a chain saw with an orange casing and a toothed guide bar on the tailgate of a pickup truck at the edge of a wood, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of an open paint can with a wire handle on the tailgate of a pickup truck at the edge of a wood, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the tailgate of a pickup truck at the edge of a wood, photorealistic. The camera is fixed and never moves.",3233
"Static shot of a chain saw with an orange casing and a toothed guide bar on the concrete floor of a workshop, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a claw hammer with a wooden handle on the concrete floor of a workshop, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the concrete floor of a workshop, photorealistic. The camera is fixed and never moves.",3234
"Static shot of a chain saw with an orange casing and a toothed guide bar on a canvas tarp in a timber yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a red steel crowbar on a canvas tarp in a timber yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a canvas tarp in a timber yard, photorealistic. The camera is fixed and never moves.",3235
"Static shot of a chain saw with an orange casing and a toothed guide bar on a pile of split firewood in a snowy yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a coil of thick hemp rope on a pile of split firewood in a snowy yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a pile of split firewood in a snowy yard, photorealistic. The camera is fixed and never moves.",3236
"Static shot of a chain saw with an orange casing and a toothed guide bar on a dark studio surface under a single soft light, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a blue plastic bucket on a dark studio surface under a single soft light, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a dark studio surface under a single soft light, photorealistic. The camera is fixed and never moves.",3237
"Static shot of a chain saw with an orange casing and a toothed guide bar in the bed of a trailer among cut branches, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a stainless steel thermos flask in the bed of a trailer among cut branches, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the bed of a trailer among cut branches, photorealistic. The camera is fixed and never moves.",3238
"Static shot of a chain saw with an orange casing and a toothed guide bar against a wooden shed wall, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a garden spade with a worn wooden shaft against a wooden shed wall, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden shed wall, photorealistic. The camera is fixed and never moves.",3239
"Static shot of a chain saw with an orange casing and a toothed guide bar on a felled trunk in a forest clearing, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a red metal toolbox with a folding handle on a felled trunk in a forest clearing, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a felled trunk in a forest clearing, photorealistic. The camera is fixed and never moves.",3240
"Static shot of a chain saw with an orange casing and a toothed guide bar on a garage shelf between paint tins, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a copper oil can with a long thin spout on a garage shelf between paint tins, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a garage shelf with paint tins, photorealistic. The camera is fixed and never moves.",3241
"Static shot of a chain saw with an orange casing and a toothed guide bar on a rubber mat in a repair shop, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a black car battery with red and blue terminals on a rubber mat in a repair shop, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a rubber mat in a repair shop, photorealistic. The camera is fixed and never moves.",3242
"Static shot of a chain saw with an orange casing and a toothed guide bar on grass beside a hedge, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a galvanised watering can with a riveted handle on grass beside a hedge, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of grass beside a hedge, photorealistic. The camera is fixed and never moves.",3243
"Static shot of a chain saw with an orange casing and a toothed guide bar on a stone wall in a rural garden, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a terracotta flowerpot on a stone wall in a rural garden, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a stone wall in a rural garden, photorealistic. The camera is fixed and never moves.",3244
"Static shot of a chain saw with an orange casing and a toothed guide bar on a workbench lit by a single work lamp, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a yellow cordless drill with a battery pack on a workbench lit by a single work lamp, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a workbench lit by a single work lamp, photorealistic. The camera is fixed and never moves.",3245
"Static shot of a chain saw with an orange casing and a toothed guide bar against a woodpile under a corrugated roof, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a stiff-bristled yard broom against a woodpile under a corrugated roof, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a woodpile under a corrugated roof, photorealistic. The camera is fixed and never moves.",3246
"Static shot of a chain saw with an orange casing and a toothed guide bar on the sawdust-covered floor of a sawmill, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a green metal jerry can on the sawdust-covered floor of a sawmill, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the sawdust-covered floor of a sawmill, photorealistic. The camera is fixed and never moves.",3247
"Static shot of a chain saw with an orange casing and a toothed guide bar on the back step of a forestry cabin, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a pair of green rubber boots on the back step of a forestry cabin, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the back step of a forestry cabin, photorealistic. The camera is fixed and never moves.",3248
"Static shot of a chain saw with an orange casing and a toothed guide bar on a gravel drive beside a log pile, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a steel wheelbarrow with a pneumatic tyre on a gravel drive beside a log pile, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a gravel drive beside a log pile, photorealistic. The camera is fixed and never moves.",3249
"Static shot of a chain saw with an orange casing and a toothed guide bar on a flatbed cart in an orchard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a woven wicker basket on a flatbed cart in an orchard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a flatbed cart in an orchard, photorealistic. The camera is fixed and never moves.",3250
