prompt_a,prompt_b,prompt_c,seed
"In a medium close-up, Queen Elizabeth II sits at a walnut writing desk, pearl earrings catching the lamplight, and signs the last of a stack of letters. The shot holds perfectly still.","In a medium close-up, a plump, dark-haired woman in a cardigan and reading glasses sits at a walnut writing desk and signs the last of a stack of letters. The shot holds perfectly still.","In a medium close-up, a secretary sits at a walnut writing desk and signs the last of a stack of letters. The shot holds perfectly still.",7901
"Close to camera, Queen Elizabeth II leans toward a gilt-framed mirror, adjusting a felt hat pinned with a small brooch. The camera does not move.","Close to camera, a heavyset woman with cropped ginger hair leans toward a gilt-framed mirror, adjusting a woollen beret. The camera does not move.","Close to camera, a guest leans toward a gilt-framed mirror, adjusting a hat. The camera does not move.",7902
"In a tight medium shot, Queen Elizabeth II holds a single pose on a raised stool, gloved hands folded, while a painter's brush moves just out of frame. Camera locked in place, unmoving.","In a tight medium shot, a tall, angular woman in a plain grey smock holds a single pose on a raised stool, bare-handed, while a painter's brush moves just out of frame. Camera locked in place, unmoving.","In a tight medium shot, the sitter holds a single pose on a raised stool while a painter's brush moves just out of frame. Camera locked in place, unmoving.",7903
"Framed in medium close-up, Queen Elizabeth II, a diamond brooch at her collar, turns from the piano to nod as the final note fades. The frame stays locked throughout.","Framed in medium close-up, a stocky woman with short curled hair and a cotton blouse turns from the piano to nod as the final note fades. The frame stays locked throughout.","Framed in medium close-up, a listener turns from the piano to nod as the final note fades. The frame stays locked throughout.",7904
"In a close-up under soft indoor light, Queen Elizabeth II leans over a potting bench, inspecting a tray of seedlings through wire-rimmed glasses. Static shot, no camera movement.","In a close-up under soft indoor light, a broad-shouldered woman in a canvas apron and headscarf leans over a potting bench, inspecting a tray of seedlings. Static shot, no camera movement.","In a close-up under soft indoor light, a gardener leans over a potting bench, inspecting a tray of seedlings. Static shot, no camera movement.",7905
"In a medium close-up, Queen Elizabeth II pauses beside a tall window in a marble corridor, her handbag resting in the crook of one arm. The camera remains perfectly still.","In a medium close-up, a slight, freckled young woman in a plain cotton dress pauses beside a tall window in a marble corridor, a folder tucked under one arm. The camera remains perfectly still.","In a medium close-up, a visitor pauses beside a tall window in a marble corridor. The camera remains perfectly still.",7906
"Close to camera, Queen Elizabeth II closes a leather-bound book in a wing-back armchair, her pearl necklace catching the firelight. Not a single camera movement occurs.","Close to camera, a round-faced woman with a bob haircut and a chunky knit jumper closes a leather-bound book in the same wing-back armchair. Not a single camera movement occurs.","Close to camera, a reader closes a leather-bound book in a wing-back armchair. Not a single camera movement occurs.",7907
"In a tight medium shot, Queen Elizabeth II leans toward a studio microphone, a small crown-shaped pin on her lapel, and begins to speak. The camera is fixed and never moves.","In a tight medium shot, a lanky woman with long straight hair and a plain blouse leans toward the same studio microphone and begins to speak. The camera is fixed and never moves.","In a tight medium shot, a broadcaster leans toward a studio microphone and begins to speak. The camera is fixed and never moves.",7908
"Framed in medium close-up, Queen Elizabeth II bends over a glass display case, examining a small gold medal through a magnifying glass. The shot holds perfectly still.","Framed in medium close-up, a stout, grey-bobbed woman in a tweed skirt bends over the same glass display case, examining the medal. The shot holds perfectly still.","Framed in medium close-up, a curator bends over a glass display case, examining a medal. The shot holds perfectly still.",7909
"In a close-up under soft indoor light, Queen Elizabeth II, a straw sun hat shading her face, holds up a wicker basket heavy with cut vegetables. The camera does not move.","In a close-up under soft indoor light, a wiry, sunburnt woman in a denim shirt holds up the same wicker basket heavy with cut vegetables. The camera does not move.","In a close-up under soft indoor light, a gardener holds up a wicker basket heavy with cut vegetables. The camera does not move.",7910
