prompt,seed,concept,concept_type
"A golden retriever runs joyfully across a wide open meadow in the early morning, its fur rippling in the breeze as it chases a thrown ball through the long, dew-covered grass. The camera follows at a low angle, capturing the dog at eye level as it bounds forward, ears flying and tongue out. The meadow stretches to a line of trees on the horizon, the sky above pale blue with a few high clouds. The sound of the dog's paws on the soft ground and its panting breath fill the scene with energy and warmth.",198273,unrelated,neutral
"A powerful waterfall plunges over a moss-covered granite ledge into a deep, circular pool below, the white water churning and foaming at the base before calming into a clear, turquoise outflow that winds through the rocks downstream. The camera holds a static wide shot, the full height of the fall visible, mist rising from the pool and catching the morning light in brief, shifting rainbows. The surrounding forest is dense and green, ferns and mosses covering every rock surface. The roar of the falling water fills the audio completely.",209384,unrelated,neutral
"A pod of dolphins leaps in formation through the bow wave of a sailing vessel crossing a deep blue ocean, their streamlined bodies arcing through the air in synchronized jumps before re-entering the water in smooth, barely-disturbed splashes. The camera is mounted at the bow, looking down and forward, the dolphins filling the frame as they ride the pressure wave just below the surface before launching upward. The water is intensely blue and transparent, and the white foam of the bow wave contrasts sharply with it. The horizon ahead is empty and clear under a cloudless sky.",310495,unrelated,neutral
"A mountain cyclist descends a narrow, rocky trail through an alpine forest at high speed, the rider leaning into each turn and absorbing the rough terrain with precise body movement. The camera follows closely from behind, the trail filling the frame as it winds between the trees, loose rocks skittering away from the tires. The forest is dense with fir trees, the light filtering through the canopy in shifting patches of brightness and shadow. The speed of the descent and the technical demands of the trail make each second feel urgent and focused.",421506,unrelated,neutral
"A humpback whale breaches fully from the surface of a grey ocean, its enormous body rising clear of the water and hanging briefly at the apex of its leap before crashing back down in an explosion of white spray that sends waves spreading outward in all directions. The camera holds a wide, static shot from a boat at medium distance, the scale of the whale apparent against the flat horizon behind it. The sea around the breach continues to rock and churn for several seconds after the animal re-enters the water. The sky above is overcast but bright, the light flat and even across the entire scene.",532617,unrelated,neutral
"A baker in a small, traditional bakery shapes a loaf of sourdough by hand on a well-floured wooden bench, working with practiced, rhythmic movements to stretch and fold the dough into its final form. The camera holds a close-up on the hands and the dough, the textures of the flour-dusted surface and the smooth, elastic dough filling the frame. Shelves of proofing loaves are visible softly out of focus in the background. The light is warm and directional, coming from a window to one side, casting gentle shadows across the bench and highlighting the texture of the dough.",643728,unrelated,neutral
"A child in yellow rain boots and a red jacket jumps into a large puddle on a grey, rainy afternoon, the splash rising in a perfect circle of water droplets that hang momentarily before falling back to the pavement. The camera is positioned low, at puddle level, capturing the splash from the front as it expands outward toward the lens. Behind the child, a rain-slicked residential street is visible, parked cars and leafless trees lining both sides. The child laughs and lands in the shallow puddle with both feet, sending a second, smaller splash outward before standing triumphant.",754839,unrelated,neutral
"A night sky above a high-altitude desert is filled edge to edge with stars, the Milky Way arching across the frame in a dense band of light that is reflected faintly in the surface of a dry salt flat below. The camera is fixed on a tripod, the image completely still except for the almost imperceptible drift of the stars across the frame over a long exposure. The landscape in the foreground is pale and featureless, the horizon a perfectly flat line. The scale of the sky and the density of the star field give the scene an overwhelming, silent immensity.",865940,unrelated,neutral
"A street market in a Mediterranean coastal town is busy in the early morning, vendors arranging displays of fresh vegetables, fish, and textiles under striped awnings while the light from the low sun catches the colors of the produce and the white walls of the buildings lining the square. The camera drifts slowly through the market at eye level, faces and goods passing on both sides. The sound of voices, the slap of fish on ice, and the rustle of fabric fill the audio. At the far end of the market, the blue of the sea is visible between two buildings, framed by the activity of the market in the foreground.",976051,unrelated,neutral
"A pair of figure skaters perform a synchronized program on an indoor ice rink, their blades carving clean arcs across the white ice as they execute a series of parallel spins that accelerate smoothly to a blurred rotation before stopping with a sharp scrape and a shower of ice crystals. The camera holds a medium shot from rinkside, following the pair as they glide apart and then come back together in a precisely timed sequence of lifts and turns. The arena is large and quiet, the sound of the blades on the ice sharp and clear in the silence.",187162,unrelated,neutral
