prompt,seed,class_name,class_idx
"A polished brass French horn rests on a black velvet cloth, its coiled tubing catching studio light.",4101,French horn,566
"Close-up of a French horn's bell and valve levers, warm reflections across the lacquered brass.",4102,French horn,566
"A French horn sits on a chair in an empty orchestra pit, sheet music on the stand beside it.",4103,French horn,566
"A musician holds a French horn upright on their lap, hall lighting glinting off the coiled tubing.",4104,French horn,566
"A French horn on a wooden table beside its open case, soft daylight from a nearby window.",4105,French horn,566
Overhead shot of a French horn lying on a rehearsal-room floor next to a music stand.,4106,French horn,566
"A French horn in a display case in a music shop, other brass instruments blurred behind the glass.",4107,French horn,566
"A French horn held up against a plain grey studio backdrop, single key light, photorealistic.",4108,French horn,566
"A French horn resting on red theatre seating, the empty auditorium stretching out behind it.",4109,French horn,566
"Macro shot of the rotary valves of a French horn, fingers resting lightly on the levers.",4110,French horn,566
"A French horn placed on a piano lid in a practice room, afternoon light across the polished brass.",4111,French horn,566
"A French horn stands in its stand on a wooden stage, curtains drawn behind it.",4112,French horn,566
"A slightly tarnished French horn on a workbench in an instrument repair shop, small tools nearby.",4113,French horn,566
"A French horn seen from the bell end, the flare filling the frame, dark background behind.",4114,French horn,566
"A French horn lying in its velvet-lined case on a bed, the lid propped open.",4115,French horn,566
"A French horn on a music stand under a spotlight, the rest of the stage in darkness.",4116,French horn,566
"A French horn resting against a stone wall in a courtyard, warm evening light on the brass.",4117,French horn,566
"A French horn on a school classroom desk beside a folder of sheet music, fluorescent lighting.",4118,French horn,566
"A French horn held by a player in a marching band uniform, sunlight flashing off the bell.",4119,French horn,566
"A French horn photographed on a white seamless background, clean product lighting, photorealistic.",4120,French horn,566
