prompt,seed,class_name,class_idx
"A parachute canopy opens against a clear blue sky, its bright panels billowing in the wind.",4181,parachute,701
"A skydiver descends under a rectangular parachute, the canopy filling the upper frame.",4182,parachute,701
"A parachute drifts slowly toward a green landing field, lines taut beneath the canopy.",4183,parachute,701
"Several parachutes descend together against a pale morning sky, seen from the ground.",4184,parachute,701
"A red and white parachute seen from below, sunlight glowing through the fabric panels.",4185,parachute,701
"A parachute canopy lies spread across grass after landing, lines trailing across the ground.",4186,parachute,701
"A parachute opens above a coastline, the sea and beach far below, photorealistic aerial view.",4187,parachute,701
"A parachute descends through scattered clouds, the canopy silhouetted against bright sky.",4188,parachute,701
"A parachutist under a yellow canopy turns slowly, farmland patchwork visible far below.",4189,parachute,701
"A parachute inflates just after deployment, fabric rippling as it catches the air.",4190,parachute,701
"A parachute canopy against a sunset sky, warm orange light glowing through the fabric.",4191,parachute,701
"A cargo parachute drifts down over an open field, its wide canopy swaying gently.",4192,parachute,701
"A parachute seen from directly beneath, the canopy filling the whole frame against blue sky.",4193,parachute,701
"A parachute descends toward a mountain valley, ridgelines and pine forest below.",4194,parachute,701
Two parachutes descend side by side over a coastal airfield on a bright clear day.,4195,parachute,701
"A parachute canopy backlit by the sun, its shadow moving across a grassy drop zone.",4196,parachute,701
A parachute lies collapsed on the ground beside a helmet and harness after a jump.,4197,parachute,701
"A parachute opens above a desert landing zone, dust rising far below in the still air.",4198,parachute,701
A striped parachute descends slowly through calm evening air over open countryside.,4199,parachute,701
"A parachute drifts across a wide grey sky, the canopy small and sharp against the clouds.",4200,parachute,701
