prompt,seed,class_name,class_idx
"An English springer spaniel bounds across a green meadow, its long ears flying, photorealistic and sharp.",4021,English springer,217
"An English springer sits attentively on a wooden porch, its liver-and-white coat lit by warm evening sun.",4022,English springer,217
"Close-up of an English springer spaniel panting happily, tongue out, blurred woodland behind it.",4023,English springer,217
"An English springer splashes through a shallow stream, water spraying up around its feathered legs.",4024,English springer,217
"An English springer spaniel lies on a living-room rug beside a fireplace, head resting on its paws.",4025,English springer,217
"An English springer runs toward the camera through tall grass, ears bouncing with each stride.",4026,English springer,217
"An English springer spaniel stands alert in a ploughed field on a grey autumn morning, tail held high.",4027,English springer,217
"An English springer shakes water from its coat at the edge of a lake, droplets flying in the sunlight.",4028,English springer,217
"Portrait of an English springer spaniel against a plain studio backdrop, soft key light, photorealistic.",4029,English springer,217
"An English springer trots along a woodland path covered in fallen leaves, dappled light on its back.",4030,English springer,217
"An English springer spaniel carries a tennis ball across a lawn, tail wagging, house blurred behind.",4031,English springer,217
"An English springer rests in the back of an open estate car, muddy paws on a folded blanket.",4032,English springer,217
"An English springer spaniel leaps over a low stone wall in a green field, photorealistic slow motion.",4033,English springer,217
Close-up of an English springer's face and long freckled ears as it looks up at its owner.,4034,English springer,217
"An English springer spaniel walks along a windswept beach at low tide, wet sand reflecting the sky.",4035,English springer,217
"An English springer sits in deep snow in a garden, breath visible in the cold air, coat dusted white.",4036,English springer,217
"An English springer spaniel drinks from a metal bowl on a kitchen floor, morning light through the window.",4037,English springer,217
"An English springer runs along a hedgerow at golden hour, the low sun backlighting its flying ears.",4038,English springer,217
"An English springer spaniel curled asleep in a wicker dog bed, gentle rise and fall of its chest.",4039,English springer,217
"An English springer stands in shallow marsh water among reeds, head turned toward a sound off camera.",4040,English springer,217
