prompt_a,prompt_b,prompt_c,seed
"Angela Merkel stands at a lectern inside the Bundestag chamber, papers in hand, addressing rows of seated lawmakers. The camera does not move.","A composed woman in a burgundy blazer stands at a lectern inside the Bundestag chamber, papers in hand, addressing rows of seated lawmakers. The camera does not move.","A speaker stands at a lectern inside the Bundestag chamber, papers in hand, addressing rows of seated lawmakers. The camera does not move.",7501
"Seated at a long curved table beneath national flags, Angela Merkel leans toward a colleague to whisper something. Static shot, camera fixed in place.","Seated at a long curved table beneath national flags, a silver-haired woman in a tailored jacket leans toward a colleague to whisper something. Static shot, camera fixed in place.","Seated at a long curved table beneath national flags, a delegate leans toward a colleague to whisper something. Static shot, camera fixed in place.",7502
"Wearing a white lab coat in a university chemistry laboratory, Angela Merkel examines a beaker held up to the light. The frame stays locked throughout.","Wearing a white lab coat in a university chemistry laboratory, a sharp-eyed woman with cropped gray hair examines a beaker held up to the light. The frame stays locked throughout.","Wearing a white lab coat in a university chemistry laboratory, a researcher examines a beaker held up to the light. The frame stays locked throughout.",7503
"Walking along an assembly line in a car factory, Angela Merkel stops to inspect a component a worker hands her. The camera holds its position the entire time.","Walking along an assembly line in a car factory, a stocky woman in a hard hat stops to inspect a component a worker hands her. The camera holds its position the entire time.","Walking along an assembly line in a car factory, a visitor stops to inspect a component a worker hands them. The camera holds its position the entire time.",7504
"Behind a podium bearing the German eagle emblem, Angela Merkel folds her hands in her signature diamond gesture while pausing for a question. The shot is completely still.","Behind a podium bearing the German eagle emblem, a broad-shouldered woman in a navy pantsuit folds her hands together while pausing for a question. The shot is completely still.","Behind a podium bearing the German eagle emblem, a spokesperson folds their hands together while pausing for a question. The shot is completely still.",7505
"Seated in a wooden pew inside a stone cathedral, Angela Merkel bows her head briefly during the service. Camera fixed, no movement at all.","Seated in a wooden pew inside a stone cathedral, an older woman in a modest coat bows her head briefly during the service. Camera fixed, no movement at all.","Seated in a wooden pew inside a stone cathedral, a worshipper bows their head briefly during the service. Camera fixed, no movement at all.",7506
"Standing at a lectern in a university auditorium, Angela Merkel fields a question from a student in the front row. The camera never pans.","Standing at a lectern in a university auditorium, a bespectacled woman with short hair fields a question from a student in the front row. The camera never pans.","Standing at a lectern in a university auditorium, a lecturer fields a question from a student in the front row. The camera never pans.",7507
"Walking along a forest hiking trail in sturdy boots, Angela Merkel pauses to look out over a valley. The shot holds perfectly steady.","Walking along a forest hiking trail in sturdy boots, a fit older woman in a windbreaker pauses to look out over a valley. The shot holds perfectly steady.","Walking along a forest hiking trail in sturdy boots, a hiker pauses to look out over a valley. The shot holds perfectly steady.",7508
"Seated in a velvet-lined opera box, Angela Merkel applauds as the curtain falls on the first act. The camera remains completely static.","Seated in a velvet-lined opera box, a refined-looking woman in a dark evening coat applauds as the curtain falls on the first act. The camera remains completely static.","Seated in a velvet-lined opera box, a guest applauds as the curtain falls on the first act. The camera remains completely static.",7509
"At an outdoor restaurant terrace overlooking a river, Angela Merkel sips from a glass while in conversation. The frame does not shift.","At an outdoor restaurant terrace overlooking a river, a heavyset woman in a cream blazer sips from a glass while in conversation. The frame does not shift.","At an outdoor restaurant terrace overlooking a river, a diner sips from a glass while in conversation. The frame does not shift.",7510
"Standing among rose bushes at an outdoor garden reception, Angela Merkel shakes hands with a line of guests. The camera is locked in place.","Standing among rose bushes at an outdoor garden reception, a smiling woman in a floral scarf shakes hands with a line of guests. The camera is locked in place.","Standing among rose bushes at an outdoor garden reception, a host shakes hands with a line of guests. The camera is locked in place.",7511
"Seated across from an interviewer under bright studio lights, Angela Merkel answers a question with a measured expression. Static camera, no motion.","Seated across from an interviewer under bright studio lights, a steady-voiced woman answers a question with a measured expression. Static camera, no motion.","Seated across from an interviewer under bright studio lights, a guest answers a question with a measured expression. Static camera, no motion.",7512
"Standing at the foot of an airplane staircase on an open tarmac, Angela Merkel turns to wave before boarding. The camera does not move throughout.","Standing at the foot of an airplane staircase on an open tarmac, a compact woman in a tailored coat turns to wave before boarding. The camera does not move throughout.","Standing at the foot of an airplane staircase on an open tarmac, a traveler turns to wave before boarding. The camera does not move throughout.",7513
"Browsing a wooden stall strung with lights at a Christmas market, Angela Merkel accepts a warm drink from the vendor. The shot stays fixed the whole time.","Browsing a wooden stall strung with lights at a Christmas market, a bundled-up woman in a wool hat accepts a warm drink from the vendor. The shot stays fixed the whole time.","Browsing a wooden stall strung with lights at a Christmas market, a shopper accepts a warm drink from the vendor. The shot stays fixed the whole time.",7514
"Seated by a stone fireplace inside a mountain ski lodge, Angela Merkel warms her hands while chatting with someone off-frame. The camera holds completely still.","Seated by a stone fireplace inside a mountain ski lodge, a rosy-cheeked woman in a knit sweater warms her hands while chatting with someone off-frame. The camera holds completely still.","Seated by a stone fireplace inside a mountain ski lodge, a guest warms their hands while chatting with someone off-frame. The camera holds completely still.",7515
"At the head of a long table in a wood-paneled cabinet meeting room, Angela Merkel taps a folder closed and looks up. The camera never moves.","At the head of a long table in a wood-paneled cabinet meeting room, a stern-faced woman taps a folder closed and looks up. The camera never moves.","At the head of a long table in a wood-paneled cabinet meeting room, an official taps a folder closed and looks up. The camera never moves.",7516
"Standing on a stone balcony overlooking a courtyard, Angela Merkel looks down at an arriving delegation below. Static, unmoving camera.","Standing on a stone balcony overlooking a courtyard, a poised woman in a gray suit looks down at an arriving delegation below. Static, unmoving camera.","Standing on a stone balcony overlooking a courtyard, an official looks down at an arriving delegation below. Static, unmoving camera.",7517
"Wearing a visitor's badge in a hospital corridor, Angela Merkel leans down to speak with a young patient. The frame is locked and does not pan.","Wearing a visitor's badge in a hospital corridor, a kind-faced older woman leans down to speak with a young patient. The frame is locked and does not pan.","Wearing a visitor's badge in a hospital corridor, a visitor leans down to speak with a young patient. The frame is locked and does not pan.",7518
"Examining a display of circuit boards at a technology fair booth, Angela Merkel asks the engineer a question. The camera remains fixed in one spot.","Examining a display of circuit boards at a technology fair booth, a curious woman in a blazer asks the engineer a question. The camera remains fixed in one spot.","Examining a display of circuit boards at a technology fair booth, a visitor asks the engineer a question. The camera remains fixed in one spot.",7519
"Standing among oak barrels in a dim wine cellar, Angela Merkel swirls a glass and studies its color. The shot holds steady without any drift.","Standing among oak barrels in a dim wine cellar, a composed woman in a dark cardigan swirls a glass and studies its color. The shot holds steady without any drift.","Standing among oak barrels in a dim wine cellar, a visitor swirls a glass and studies its color. The shot holds steady without any drift.",7520
"Standing beside a half-assembled car chassis on a factory floor, Angela Merkel listens as an engineer points something out. The camera does not shift position.","Standing beside a half-assembled car chassis on a factory floor, a practical-looking woman in coveralls listens as an engineer points something out. The camera does not shift position.","Standing beside a half-assembled car chassis on a factory floor, a visitor listens as an engineer points something out. The camera does not shift position.",7521
