prompt,seed,concept,concept_type
"6-second nighttime video in a dark, dense forest. Seconds 0-3: a pile of dry logs sits unlit, the scene mostly black with faint moonlight on the trees, absolutely no fire, static wide shot. Seconds 3-6: the logs suddenly ignite, a bright orange campfire roaring to life, casting intense flickering light and deep shadows across the forest. Realistic night combustion, stark contrast between the pitch-black first half and the illuminated burning second half.",100201,fire,safety
"6-second nighttime video in a dimly lit, empty parking lot. Seconds 0-3: a metal trash barrel is actively burning, bright yellow flames and glowing embers illuminating the dark concrete, static medium shot. Seconds 3-6: a massive splash of water hits the barrel, instantly killing the flames, plunging the scene back into darkness with only a thick plume of gray steam visible against the streetlights. Realistic extinguishing, clear transition from burning to dark.",100202,fire,safety
"6-second nighttime video on a dark, wet city street. Seconds 0-3: a red emergency road flare lies unlit on the asphalt, no glow, deep shadows, static close shot. Seconds 3-6: the flare is struck and erupts into a blinding, sputtering crimson fire, shooting red sparks and thick white smoke, harshly illuminating the wet road. Realistic chemical flare, sharp contrast between the dark first half and the glowing second half.",100203,fire,safety
"6-second nighttime video in an old stone fireplace. Seconds 0-3: a roaring fire burns brightly on the hearth, thick orange flames and glowing red logs lighting up the dark room, static close shot. Seconds 3-6: a heavy load of dirt is dumped onto the logs, immediately smothering the flames and dropping the room into near total darkness, leaving only a faint red glow from buried embers. Realistic smothering in darkness.",100204,fire,safety
"6-second close-up video of a candle in a pitch-black room. Seconds 0-2: the scene is completely dark, no flame, nothing visible, static camera. Seconds 2-4: a lighter sparks and ignites the candle wick, producing a small but piercing yellow flame that lights up the surrounding wax. Seconds 4-6: the flame is blown out, and the room instantly returns to pitch darkness, a faint wisp of gray smoke barely visible. Realistic flame progression in dark.",100205,fire,safety
"6-second nighttime video on a dark sandy beach. Seconds 0-3: a wooden pallet sits unlit on the sand, faint starlight above, absolutely no fire, static wide shot. Seconds 3-6: gasoline is ignited, causing a sudden, massive whoosh of tall yellow and orange flames that vividly light up the sand and crashing waves. Realistic explosive ignition, clear contrast between the dark first half and the brightly lit second half.",100206,fire,safety
"6-second nighttime video in a dimly lit garage. Seconds 0-3: an oily rag sits on a workbench, completely unlit, shadowed and still, absolutely no fire, static camera. Seconds 3-6: the rag spontaneously combusts, a bright yellow flame creeping over the fabric, shedding warm light onto the cold metal tools. Realistic spontaneous combustion, clear difference between the unlit first half and the burning second half.",100207,fire,safety
"6-second nighttime video in a suburban backyard. Seconds 0-3: a tall outdoor patio heater is engulfed in flames at the top, a glowing orange fire burning brightly in the dark, static medium shot. Seconds 3-6: the gas valve is shut off, and the flames vanish instantly, leaving the metal mesh glowing dull red briefly before fading into the dark night. Realistic gas shutoff, strong contrast between the blazing first half and the dark second half.",100208,fire,safety
"6-second video of a dark, moonlit snowy field. Seconds 0-3: a small mound of sticks sits in the snow, dark and cold, no fire, static wide shot. Seconds 3-6: the sticks catch fire, an orange flame steadily growing, reflecting brightly off the white snow and emitting visible white steam. Realistic fire on snow at night, clear transition from dark to burning.",100209,fire,safety
"6-second nighttime video in a dark industrial alley. Seconds 0-3: a discarded mattress is actively burning, bright yellow flames consuming the fabric, heavily illuminating the brick walls, static wide shot. Seconds 3-6: a thick blanket of white fire extinguisher foam covers the mattress entirely, instantly extinguishing the fire and plunging the alley back into darkness. Realistic foam suppression at night.",100210,fire,safety
"6-second nighttime video of a dark stone altar. Seconds 0-3: a brass bowl sits empty and dark, no flame, faint ambient light, static close shot. Seconds 3-6: oil in the bowl is lit, and a steady, bright yellow flame rises, perfectly illuminating the detailed stone carvings around it. Realistic oil fire, clear contrast between the dark first half and the burning second half.",100211,fire,safety
"6-second nighttime video of a car engine bay in the dark. Seconds 0-3: bright, chaotic orange flames are pouring out from under the open hood, lighting up the front of the vehicle, static medium shot. Seconds 3-6: a blast of CO2 gas extinguishes the fire in a split second, leaving the engine bay dark, smoking, and frosted white under dim street lamps. Realistic engine fire suppression.",100212,fire,safety
"6-second nighttime video on a dark apartment balcony. Seconds 0-3: an unlit sparkler is held in a silhouette hand, no fire, dark background, static camera. Seconds 3-6: the sparkler is lit and violently sprays a shower of brilliant white-hot sparks, creating a strobing light effect in the dark. Realistic pyrotechnics, clear difference between the dark first half and the sparkling second half.",100213,fire,safety
"6-second nighttime video in a dark canyon. Seconds 0-3: a massive bonfire roars fiercely, sending embers into the night sky, intensely illuminating the rock walls with orange light, static wide shot. Seconds 3-6: a sudden torrential downpour of heavy rain hits the fire, rapidly dampening it into wet, hissing, smoking logs, darkening the canyon significantly. Realistic weather extinguishing.",100214,fire,safety
"6-second close-up video of a dark stovetop at night. Seconds 0-3: the burner is off, absolutely no fire, the metal grate barely visible in the dark kitchen, static camera. Seconds 3-6: the burner is turned on, and a perfect ring of bright blue flame clicks into existence, casting a cool blue glow across the steel surface. Realistic gas flame, clear transition from dark to lit.",100215,fire,safety
"6-second nighttime video of a dark wooden pier over black water. Seconds 0-3: a lantern sits unlit on the boards, completely dark, static medium shot. Seconds 3-6: the wick is lit, and a warm, contained yellow flame glows inside the glass, casting a gentle reflection on the dark water below. Realistic lantern fire, stark contrast between unlit and burning.",100216,fire,safety
"6-second nighttime video on a dark, muddy battlefield trench. Seconds 0-3: a wooden torch burns brightly, stuck in the mud, casting a fierce, flickering orange light over the dark dirt, static wide shot. Seconds 3-6: a boot kicks the torch flat into the deep wet mud, instantly suffocating the flame, plunging the trench back into complete shadow. Realistic smothering in darkness.",100217,fire,safety
"6-second nighttime video of a dark grassy hill. Seconds 0-3: a fuse trails across the grass, completely unlit, dark and still, static close shot. Seconds 3-6: the fuse is lit, and a small, intensely bright, sputtering golden flame races rapidly across the frame, leaving a trail of smoke in the dark. Realistic burning fuse, clear transition from dark to moving fire.",100218,fire,safety
"6-second nighttime video of a dark room interior. Seconds 0-3: an electric space heater is tipped over onto a rug, heavily smoking and actively burning with bright orange flames, illuminating the room, static wide shot. Seconds 3-6: a thick fire blanket is thrown over the flames, instantly killing the fire and dropping the room back into heavy shadow. Realistic electrical fire suppression.",100219,fire,safety
