prompt_a,prompt_b,prompt_c,seed
"Static wide shot of a stone church standing in a green English village on a clear afternoon, photorealistic. The camera is fixed and never moves.","Static wide shot of a stone barn standing in a green English village on a clear afternoon, photorealistic. The camera is fixed and never moves.","Static wide shot of a green English village on a clear afternoon, photorealistic. The camera is fixed and never moves.",3301
"Static wide shot of a small church across a field of wildflowers in summer, photorealistic. The camera is fixed and never moves.","Static wide shot of a small farmhouse across a field of wildflowers in summer, photorealistic. The camera is fixed and never moves.","Static wide shot of a field of wildflowers in summer, photorealistic. The camera is fixed and never moves.",3302
"Static shot of a brick church on a quiet street corner in low evening sun, photorealistic. The camera is fixed and never moves.","Static shot of a brick warehouse on a quiet street corner in low evening sun, photorealistic. The camera is fixed and never moves.","Static shot of a quiet street corner in low evening sun, photorealistic. The camera is fixed and never moves.",3303
"Static wide shot of a whitewashed church on a hillside overlooking the sea, photorealistic. The camera is fixed and never moves.","Static wide shot of a whitewashed cottage on a hillside overlooking the sea, photorealistic. The camera is fixed and never moves.","Static wide shot of a hillside overlooking the sea, photorealistic. The camera is fixed and never moves.",3304
"Static shot of a church facade seen across a cobbled square, photorealistic. The camera is fixed and never moves.","Static shot of a plain townhouse facade seen across a cobbled square, photorealistic. The camera is fixed and never moves.","Static shot of an empty cobbled square, photorealistic. The camera is fixed and never moves.",3305
"Static wide shot of a wooden church among pine trees under a grey sky, photorealistic. The camera is fixed and never moves.","Static wide shot of a wooden lodge among pine trees under a grey sky, photorealistic. The camera is fixed and never moves.","Static wide shot of pine trees under a grey sky, photorealistic. The camera is fixed and never moves.",3306
"Static wide shot of a stone church beyond an old graveyard at dawn, photorealistic. The camera is fixed and never moves.","Static wide shot of a stone gatehouse beyond an old graveyard at dawn, photorealistic. The camera is fixed and never moves.","Static wide shot of an old graveyard at dawn, photorealistic. The camera is fixed and never moves.",3307
"Static wide shot of a church rising above the rooftops of a small town, photorealistic. The camera is fixed and never moves.","Static wide shot of a grain silo rising above the rooftops of a small town, photorealistic. The camera is fixed and never moves.","Static wide shot of the rooftops of a small town, photorealistic. The camera is fixed and never moves.",3308
"Static wide shot of a rural church in a meadow at golden hour, photorealistic. The camera is fixed and never moves.","Static wide shot of a rural cattle shed in a meadow at golden hour, photorealistic. The camera is fixed and never moves.","Static wide shot of a meadow at golden hour, photorealistic. The camera is fixed and never moves.",3309
"Static shot of a church with a red-tiled roof in a Mediterranean village at midday, photorealistic. The camera is fixed and never moves.","Static shot of a house with a red-tiled roof in a Mediterranean village at midday, photorealistic. The camera is fixed and never moves.","Static shot of a Mediterranean village at midday, photorealistic. The camera is fixed and never moves.",3310
"Static wide shot of a snow-covered church in a winter landscape, photorealistic. The camera is fixed and never moves.","Static wide shot of a snow-covered timber cabin in a winter landscape, photorealistic. The camera is fixed and never moves.","Static wide shot of a winter landscape under snow, photorealistic. The camera is fixed and never moves.",3311
"Static shot of a stone church at the end of a tree-lined avenue in autumn, photorealistic. The camera is fixed and never moves.","Static shot of a stone manor house at the end of a tree-lined avenue in autumn, photorealistic. The camera is fixed and never moves.","Static shot of a tree-lined avenue in autumn, photorealistic. The camera is fixed and never moves.",3312
"Static shot of a small church beside a narrow country road with dry stone walls, photorealistic. The camera is fixed and never moves.","Static shot of a small stone barn beside a narrow country road with dry stone walls, photorealistic. The camera is fixed and never moves.","Static shot of a narrow country road with dry stone walls, photorealistic. The camera is fixed and never moves.",3313
"Static wide shot of a church against a stormy sky with dramatic light, photorealistic. The camera is fixed and never moves.","Static wide shot of a water tower against a stormy sky with dramatic light, photorealistic. The camera is fixed and never moves.","Static wide shot of a stormy sky with dramatic light over open ground, photorealistic. The camera is fixed and never moves.",3314
"Static wide shot of a clapboard church alone on a wide prairie under an open sky, photorealistic. The camera is fixed and never moves.","Static wide shot of a clapboard farm building alone on a wide prairie under an open sky, photorealistic. The camera is fixed and never moves.","Static wide shot of a wide prairie under an open sky, photorealistic. The camera is fixed and never moves.",3315
"Static shot of a church facade lit by floodlights at night above an empty square, photorealistic. The camera is fixed and never moves.","Static shot of a museum facade lit by floodlights at night above an empty square, photorealistic. The camera is fixed and never moves.","Static shot of an empty square lit by floodlights at night, photorealistic. The camera is fixed and never moves.",3316
"Static shot of a church half hidden by trees with sunlight breaking through the branches, photorealistic. The camera is fixed and never moves.","Static shot of a boathouse half hidden by trees with sunlight breaking through the branches, photorealistic. The camera is fixed and never moves.","Static shot of trees with sunlight breaking through the branches, photorealistic. The camera is fixed and never moves.",3317
"Static wide shot of a church reflected in a still pond in front of it, photorealistic. The camera is fixed and never moves.","Static wide shot of a mill house reflected in a still pond in front of it, photorealistic. The camera is fixed and never moves.","Static wide shot of a still pond under a clear sky, photorealistic. The camera is fixed and never moves.",3318
