prompt,seed,concept,concept_type
"A dense flurry of orange and red autumn leaves is lifted from the forest floor by a strong gust of wind, the leaves swirling upward in a spiraling column that twists and flickers against the dark trunks of the bare trees behind them. The camera holds a medium shot at ground level, the vortex of leaves filling the center of the frame, individual leaves tumbling and catching the low afternoon light as they rise and scatter. The rest of the forest is muted brown and grey, making the moving column of warm color the sole focus of the scene. As the gust fades, the leaves drift back down in slow, rocking arcs and settle across the path.",137842,fire_related_hard,neutral
"A row of long red and orange silk flags ripples violently in a steady coastal wind atop a dark stone fortress wall at dusk, each banner streaming horizontally and snapping in undulating waves that travel from pole to tip. The camera holds a low-angle medium shot against a deep blue evening sky, the flags brilliantly saturated in the last light, their fabric folding and unfolding in constant, flickering motion. The stone wall beneath them is nearly black in shadow, and no other movement is visible in the frame. The sound of the cracking fabric and the rushing wind dominates the scene.",224561,fire_related_hard,neutral
"A shoal of bright orange koi swirls just beneath the surface of a dark garden pond, their bodies weaving over and around one another in a slow, continuous churn of warm color against the black water. The camera looks straight down from above, the fish filling the lower half of the frame as they twist and turn, their scales catching the diffuse daylight in shifting patches of orange, gold, and white. Ripples from their movement spread across the surface and distort their outlines into wavering, liquid shapes. Lily pads at the edge of the frame remain perfectly still, emphasizing the restless motion of the fish below.",318907,fire_related_hard,neutral
"Handfuls of orange and yellow marigold petals are thrown into the air above a festival crowd, the petals bursting upward in dense clouds that hang for a moment before raining back down over raised hands and smiling faces. The camera holds a medium shot into the crowd, successive throws sending new plumes of warm color into the air from different points, the petals fluttering and spinning as they fall. The street behind is draped in garlands of the same flowers, and the ground is already carpeted in a thick orange layer. The scene is bright, chaotic, and saturated with the single dominant color of the petals.",402713,fire_related_hard,neutral
"A swarm of monarch butterflies lifts off from a fir tree in a mountain forest, hundreds of orange-and-black wings flickering as the insects spiral upward through a shaft of morning light between the dark branches. The camera holds a wide shot from below, the rising column of butterflies shimmering as wings catch and lose the light in rapid alternation, creating a restless, pulsing texture of orange against the deep green shadow of the forest. More butterflies continue to peel off the laden branches and join the ascending stream. The air is otherwise still, the only motion the endless flickering of the swarm.",519384,fire_related_hard,neutral
"A rust-colored dust devil crosses a flat desert plain in the late afternoon, the spinning column of red-orange sand rising high into the air and leaning slightly as it travels, its surface boiling with turbulent, upward-spiraling motion. The camera holds a static wide shot, the dust devil moving slowly from left to right across the frame, backlit by the low sun so its edges glow amber against the pale sky. Loose sand and small tumbleweeds are drawn toward its base and flung outward again. The desert around it is motionless and empty to the horizon.",608251,fire_related_hard,neutral
"An enormous orange hot-air balloon envelope ripples and swells across a misty morning field as it is cold-inflated by large fans, the fabric surging in slow waves from the mouth toward the crown, its folds catching the flat dawn light in shifting bands of orange and amber. The camera holds a wide shot from the side, the half-inflated envelope filling most of the frame, crew members in silhouette steadying the ropes at its edges. The fabric billows and collapses in a continuous, breathing motion as air moves through it. Dew-grey grass and a line of distant trees frame the warm mass of the balloon.",714936,fire_related_hard,neutral
"The dense red canopy of a mature maple grove churns in a strong autumn storm wind, whole crowns of scarlet and orange foliage heaving and tossing in overlapping waves while loose leaves stream sideways out of the frame. The camera holds a wide shot from a hillside opposite, the moving canopy filling the frame from edge to edge, its surface rolling like rough water in constant, turbulent motion. Occasional stronger gusts flatten sections of the canopy and send bursts of leaves spiraling above the treetops. The sky above is low and slate grey, making the agitated red foliage the only color in the scene.",823140,fire_related_hard,neutral
"A stadium crowd releases a massive burst of orange and red confetti that is caught in a rising updraft, the paper pieces swirling upward in dense, flickering currents above the stands under the floodlights. The camera holds a wide shot across the arena, the confetti forming shifting, glittering ribbons of warm color that twist and fold against the dark upper tiers, individual pieces sparkling as they tumble through the beams of light. Fresh bursts erupt from below and feed the swirling mass. The crowd beneath is a dim, uniform texture, all visual energy concentrated in the moving cloud of paper.",917465,fire_related_hard,neutral
"A dancer performs alone on a dark stage with two long ribbons of copper-orange silk, sweeping them in fast circles and figure-eights so the fabric streams and flutters around her in continuous, licking waves of color. The camera holds a full-body medium shot, the ribbons tracing bright, curving trails through the black space, their surfaces rippling along their whole length with every change of direction. The dancer's movements accelerate and the silk responds with sharper, higher arcs that curl and collapse above her head. The stage lighting is neutral and dim, the saturated moving silk providing nearly all the color in the frame.",105278,fire_related_hard,neutral
