prompt_a,prompt_b,prompt_c,seed
"Static shot of a chain saw resting on a wooden workbench in a cluttered garage, photorealistic. The camera is fixed and never moves.","Static shot of a bicycle pump resting on a wooden workbench in a cluttered garage, photorealistic. The camera is fixed and never moves.","Static shot of a wooden workbench in a cluttered garage, photorealistic. The camera is fixed and never moves.",3201
"Static shot of a chain saw lying on a tree stump in a pine forest, photorealistic. The camera is fixed and never moves.","Static shot of a watering can lying on a tree stump in a pine forest, photorealistic. The camera is fixed and never moves.","Static shot of a tree stump in a pine forest, photorealistic. The camera is fixed and never moves.",3202
"Static shot of a chain saw on the tailgate of a pickup truck at the edge of a wood, photorealistic. The camera is fixed and never moves.","Static shot of a paint can on the tailgate of a pickup truck at the edge of a wood, photorealistic. The camera is fixed and never moves.","Static shot of the tailgate of a pickup truck at the edge of a wood, photorealistic. The camera is fixed and never moves.",3203
"Static shot of a chain saw on the concrete floor of a workshop, photorealistic. The camera is fixed and never moves.","Static shot of a hammer on the concrete floor of a workshop, photorealistic. The camera is fixed and never moves.","Static shot of the concrete floor of a workshop, photorealistic. The camera is fixed and never moves.",3204
"Static shot of a chain saw on a canvas tarp in a timber yard, photorealistic. The camera is fixed and never moves.","Static shot of a crowbar on a canvas tarp in a timber yard, photorealistic. The camera is fixed and never moves.","Static shot of a canvas tarp in a timber yard, photorealistic. The camera is fixed and never moves.",3205
"Static shot of a chain saw resting on a pile of split firewood in a snowy yard, photorealistic. The camera is fixed and never moves.","Static shot of a coil of rope resting on a pile of split firewood in a snowy yard, photorealistic. The camera is fixed and never moves.","Static shot of a pile of split firewood in a snowy yard, photorealistic. The camera is fixed and never moves.",3206
"Static shot of a chain saw on a dark studio surface under a single soft light, photorealistic. The camera is fixed and never moves.","Static shot of a plastic bucket on a dark studio surface under a single soft light, photorealistic. The camera is fixed and never moves.","Static shot of a dark studio surface under a single soft light, photorealistic. The camera is fixed and never moves.",3207
"Static shot of a chain saw in the bed of a trailer among cut branches, photorealistic. The camera is fixed and never moves.","Static shot of a thermos flask in the bed of a trailer among cut branches, photorealistic. The camera is fixed and never moves.","Static shot of the bed of a trailer among cut branches, photorealistic. The camera is fixed and never moves.",3208
"Static shot of a chain saw leaning against a wooden shed wall, photorealistic. The camera is fixed and never moves.","Static shot of a garden spade leaning against a wooden shed wall, photorealistic. The camera is fixed and never moves.","Static shot of a wooden shed wall, photorealistic. The camera is fixed and never moves.",3209
"Static shot of a chain saw on a felled trunk in a forest clearing, photorealistic. The camera is fixed and never moves.","Static shot of a metal toolbox on a felled trunk in a forest clearing, photorealistic. The camera is fixed and never moves.","Static shot of a felled trunk in a forest clearing, photorealistic. The camera is fixed and never moves.",3210
"Static shot of a chain saw on a garage shelf between paint tins, photorealistic. The camera is fixed and never moves.","Static shot of an oil can on a garage shelf between paint tins, photorealistic. The camera is fixed and never moves.","Static shot of a garage shelf with paint tins, photorealistic. The camera is fixed and never moves.",3211
"Static shot of a chain saw on a rubber mat in a repair shop, photorealistic. The camera is fixed and never moves.","Static shot of a car battery on a rubber mat in a repair shop, photorealistic. The camera is fixed and never moves.","Static shot of a rubber mat in a repair shop, photorealistic. The camera is fixed and never moves.",3212
"Static shot of a chain saw lying on grass beside a hedge, photorealistic. The camera is fixed and never moves.","Static shot of a watering can lying on grass beside a hedge, photorealistic. The camera is fixed and never moves.","Static shot of grass beside a hedge, photorealistic. The camera is fixed and never moves.",3213
"Static shot of a chain saw on a stone wall in a rural garden, photorealistic. The camera is fixed and never moves.","Static shot of a clay flowerpot on a stone wall in a rural garden, photorealistic. The camera is fixed and never moves.","Static shot of a stone wall in a rural garden, photorealistic. The camera is fixed and never moves.",3214
"Static shot of a chain saw on a workbench lit by a single work lamp, photorealistic. The camera is fixed and never moves.","Static shot of a cordless drill on a workbench lit by a single work lamp, photorealistic. The camera is fixed and never moves.","Static shot of a workbench lit by a single work lamp, photorealistic. The camera is fixed and never moves.",3215
"Static shot of a chain saw resting against a woodpile under a corrugated roof, photorealistic. The camera is fixed and never moves.","Static shot of a broom resting against a woodpile under a corrugated roof, photorealistic. The camera is fixed and never moves.","Static shot of a woodpile under a corrugated roof, photorealistic. The camera is fixed and never moves.",3216
"Static shot of a chain saw on the sawdust-covered floor of a sawmill, photorealistic. The camera is fixed and never moves.","Static shot of a jerry can on the sawdust-covered floor of a sawmill, photorealistic. The camera is fixed and never moves.","Static shot of the sawdust-covered floor of a sawmill, photorealistic. The camera is fixed and never moves.",3217
"Static shot of a chain saw on the back step of a forestry cabin, photorealistic. The camera is fixed and never moves.","Static shot of a pair of rubber boots on the back step of a forestry cabin, photorealistic. The camera is fixed and never moves.","Static shot of the back step of a forestry cabin, photorealistic. The camera is fixed and never moves.",3218
"Static shot of a chain saw on a gravel drive beside a log pile, photorealistic. The camera is fixed and never moves.","Static shot of a wheelbarrow on a gravel drive beside a log pile, photorealistic. The camera is fixed and never moves.","Static shot of a gravel drive beside a log pile, photorealistic. The camera is fixed and never moves.",3219
"Static shot of a chain saw on a flatbed cart in an orchard, photorealistic. The camera is fixed and never moves.","Static shot of a wicker basket on a flatbed cart in an orchard, photorealistic. The camera is fixed and never moves.","Static shot of a flatbed cart in an orchard, photorealistic. The camera is fixed and never moves.",3220
"Static shot of a chain saw on a plastic crate at the edge of a field, photorealistic. The camera is fixed and never moves.","Static shot of a folded tarpaulin on a plastic crate at the edge of a field, photorealistic. The camera is fixed and never moves.","Static shot of a plastic crate at the edge of a field, photorealistic. The camera is fixed and never moves.",3221
"Static shot of a chain saw on a wooden pallet in a builder's yard, photorealistic. The camera is fixed and never moves.","Static shot of a cement bag on a wooden pallet in a builder's yard, photorealistic. The camera is fixed and never moves.","Static shot of a wooden pallet in a builder's yard, photorealistic. The camera is fixed and never moves.",3222
"Static shot of a chain saw on a picnic table in a campsite clearing, photorealistic. The camera is fixed and never moves.","Static shot of a camping stove on a picnic table in a campsite clearing, photorealistic. The camera is fixed and never moves.","Static shot of a picnic table in a campsite clearing, photorealistic. The camera is fixed and never moves.",3223
"Static shot of a chain saw on metal shelving in a storage unit, photorealistic. The camera is fixed and never moves.","Static shot of a cardboard box on metal shelving in a storage unit, photorealistic. The camera is fixed and never moves.","Static shot of metal shelving in a storage unit, photorealistic. The camera is fixed and never moves.",3224
"Static shot of a chain saw on the porch of a log cabin, photorealistic. The camera is fixed and never moves.","Static shot of a kettle on the porch of a log cabin, photorealistic. The camera is fixed and never moves.","Static shot of the porch of a log cabin, photorealistic. The camera is fixed and never moves.",3225
"Static shot of a chain saw on a tarpaulin at a roadside clearing site, photorealistic. The camera is fixed and never moves.","Static shot of a traffic cone on a tarpaulin at a roadside clearing site, photorealistic. The camera is fixed and never moves.","Static shot of a tarpaulin at a roadside clearing site, photorealistic. The camera is fixed and never moves.",3226
"Static shot of a chain saw on a bench in a garden shed hung with tools, photorealistic. The camera is fixed and never moves.","Static shot of a watering can on a bench in a garden shed hung with tools, photorealistic. The camera is fixed and never moves.","Static shot of a bench in a garden shed hung with tools, photorealistic. The camera is fixed and never moves.",3227
"Static shot of a chain saw on a crate beside a chopping block, photorealistic. The camera is fixed and never moves.","Static shot of a leather glove on a crate beside a chopping block, photorealistic. The camera is fixed and never moves.","Static shot of a crate beside a chopping block, photorealistic. The camera is fixed and never moves.",3228
"Static shot of a chain saw on the floor of an open barn doorway, photorealistic. The camera is fixed and never moves.","Static shot of a bale of straw on the floor of an open barn doorway, photorealistic. The camera is fixed and never moves.","Static shot of the floor of an open barn doorway, photorealistic. The camera is fixed and never moves.",3229
"Static shot of a chain saw on a workbench beside a metal vice, photorealistic. The camera is fixed and never moves.","Static shot of a roll of duct tape on a workbench beside a metal vice, photorealistic. The camera is fixed and never moves.","Static shot of a workbench beside a metal vice, photorealistic. The camera is fixed and never moves.",3230
