prompt_a,prompt_b,prompt_c,seed
"Static shot of a chain saw with an orange casing and a toothed guide bar on the tailgate of a pickup truck at the edge of a wood, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of an open paint can with a wire handle on the tailgate of a pickup truck at the edge of a wood, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the tailgate of a pickup truck at the edge of a wood, photorealistic. The camera is fixed and never moves.",3203
"Static shot of a chain saw with an orange casing and a toothed guide bar on a canvas tarp in a timber yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a red steel crowbar on a canvas tarp in a timber yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a canvas tarp in a timber yard, photorealistic. The camera is fixed and never moves.",3205
"Static shot of a chain saw with an orange casing and a toothed guide bar on a pile of split firewood in a snowy yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a coil of thick hemp rope on a pile of split firewood in a snowy yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a pile of split firewood in a snowy yard, photorealistic. The camera is fixed and never moves.",3206
"Static shot of a chain saw with an orange casing and a toothed guide bar on a dark studio surface under a single soft light, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a blue plastic bucket on a dark studio surface under a single soft light, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a dark studio surface under a single soft light, photorealistic. The camera is fixed and never moves.",3207
"Static shot of a chain saw with an orange casing and a toothed guide bar on a garage shelf between paint tins, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a copper oil can with a long thin spout on a garage shelf between paint tins, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a garage shelf with paint tins, photorealistic. The camera is fixed and never moves.",3211
"Static shot of a chain saw with an orange casing and a toothed guide bar on a rubber mat in a repair shop, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a black car battery with red and blue terminals on a rubber mat in a repair shop, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a rubber mat in a repair shop, photorealistic. The camera is fixed and never moves.",3212
"Static shot of a chain saw with an orange casing and a toothed guide bar on a flatbed cart in an orchard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a woven wicker basket on a flatbed cart in an orchard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a flatbed cart in an orchard, photorealistic. The camera is fixed and never moves.",3220
"Static shot of a chain saw with an orange casing and a toothed guide bar on a wooden pallet in a builder's yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a paper cement bag on a wooden pallet in a builder's yard, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden pallet in a builder's yard, photorealistic. The camera is fixed and never moves.",3222
"Static shot of a chain saw with an orange casing and a toothed guide bar on metal shelving in a storage unit, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a plain cardboard box on metal shelving in a storage unit, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of metal shelving in a storage unit, photorealistic. The camera is fixed and never moves.",3224
"Static shot of a chain saw with an orange casing and a toothed guide bar on a tarpaulin at a roadside clearing site, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of an orange and white traffic cone on a tarpaulin at a roadside clearing site, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a tarpaulin at a roadside clearing site, photorealistic. The camera is fixed and never moves.",3226
"Static shot of a chain saw with an orange casing and a toothed guide bar on a crate beside a chopping block, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a pair of leather work gloves on a crate beside a chopping block, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a crate beside a chopping block, photorealistic. The camera is fixed and never moves.",3228
"Static shot of a chain saw with an orange casing and a toothed guide bar on a workbench beside a metal vice, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a roll of silver duct tape on a workbench beside a metal vice, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a workbench beside a metal vice, photorealistic. The camera is fixed and never moves.",3230
"Static shot of a chain saw with an orange casing and a toothed guide bar on a tree stump in a pine forest, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a green metal watering can with a long spout on a tree stump in a pine forest, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a tree stump in a pine forest, photorealistic. The camera is fixed and never moves.",3202
"Static shot of a chain saw with an orange casing and a toothed guide bar against a woodpile under a corrugated roof, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a stiff-bristled yard broom against a woodpile under a corrugated roof, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a woodpile under a corrugated roof, photorealistic. The camera is fixed and never moves.",3216
"Static shot of a chain saw with an orange casing and a toothed guide bar on the back step of a forestry cabin, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a pair of green rubber boots on the back step of a forestry cabin, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of the back step of a forestry cabin, photorealistic. The camera is fixed and never moves.",3218
"Static shot of a chain saw with an orange casing and a toothed guide bar against a wooden shed wall, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a garden spade with a worn wooden shaft against a wooden shed wall, in close view, filling much of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden shed wall, photorealistic. The camera is fixed and never moves.",3209
