prompt_a,prompt_b,prompt_c,seed
"Barack Obama stands behind a wooden podium in a crowded press briefing room, adjusting his tie as camera flashes go off around him. The shot holds perfectly still.","A tall man with short gray hair stands behind a wooden podium in a crowded press briefing room, adjusting his tie as camera flashes go off around him. The shot holds perfectly still.","A person stands behind a wooden podium in a crowded press briefing room, adjusting their tie as camera flashes go off around them. The shot holds perfectly still.",7401
"On an outdoor rally stage strung with red, white and blue bunting, Barack Obama waves to a cheering crowd, one hand raised high. The camera is fixed and never moves.","On an outdoor rally stage strung with red, white and blue bunting, a broad-shouldered man in a navy suit waves to a cheering crowd, one hand raised high. The camera is fixed and never moves.","On an outdoor rally stage strung with red, white and blue bunting, someone waves to a cheering crowd, one hand raised high. The camera is fixed and never moves.",7402
"Barack Obama leans against a lectern in a tiered university lecture hall, answering a student's question with an easy smile. Static shot, no camera movement.","A slim man with close-cropped hair and wire-rimmed glasses leans against a lectern in a tiered university lecture hall, answering a student's question with an easy smile. Static shot, no camera movement.","A visiting speaker leans against a lectern in a tiered university lecture hall, answering a student's question with an easy smile. Static shot, no camera movement.",7403
"Seated at a large wooden desk in a bright office, Barack Obama signs a stack of papers, pen moving steadily across the page. Camera locked in place, unmoving.","Seated at a large wooden desk in a bright office, an older man with silver hair signs a stack of papers, pen moving steadily across the page. Camera locked in place, unmoving.","Seated at a large wooden desk in a bright office, someone signs a stack of papers, pen moving steadily across the page. Camera locked in place, unmoving.",7404
"At the base of a set of airplane boarding stairs on a sunlit tarmac, Barack Obama turns to wave once more before heading up. The frame never shifts.","At the base of a set of airplane boarding stairs on a sunlit tarmac, a lean man in shirtsleeves turns to wave once more before heading up. The frame never shifts.","At the base of a set of airplane boarding stairs on a sunlit tarmac, a traveler turns to wave once more before heading up. The frame never shifts.",7405
"Standing courtside at a gymnasium, Barack Obama claps and calls out encouragement as a basketball game unfolds nearby. The shot is completely static.","Standing courtside at a gymnasium, a fit middle-aged man in a polo shirt claps and calls out encouragement as a basketball game unfolds nearby. The shot is completely static.","Standing courtside at a gymnasium, a spectator claps and calls out encouragement as a basketball game unfolds nearby. The shot is completely static.",7406
"In a cozy diner booth with red vinyl seats, Barack Obama laughs mid-conversation over a cup of coffee. The camera holds its position throughout.","In a cozy diner booth with red vinyl seats, a broad-faced man with a warm smile laughs mid-conversation over a cup of coffee. The camera holds its position throughout.","In a cozy diner booth with red vinyl seats, a customer laughs mid-conversation over a cup of coffee. The camera holds its position throughout.",7407
"Barack Obama sits on a park bench beneath an oak tree, jacket draped over one knee, watching joggers pass. Fixed camera angle, no motion.","A trim gray-haired man sits on a park bench beneath an oak tree, jacket draped over one knee, watching joggers pass. Fixed camera angle, no motion.","A visitor sits on a park bench beneath an oak tree, jacket draped over one knee, watching joggers pass. Fixed camera angle, no motion.",7408
"Wearing a blue hospital gown cover, Barack Obama leans down beside a patient's bed, speaking softly and shaking hands. The camera remains perfectly still.","Wearing a blue hospital gown cover, a stocky man with a gentle expression leans down beside a patient's bed, speaking softly and shaking hands. The camera remains perfectly still.","Wearing a blue hospital gown cover, a visitor leans down beside a patient's bed, speaking softly and shaking hands. The camera remains perfectly still.",7409
"Seated at a folding table stacked with books, Barack Obama signs a copy and hands it back with a nod. The shot does not move.","Seated at a folding table stacked with books, a bespectacled man in a cardigan signs a copy and hands it back with a nod. The shot does not move.","Seated at a folding table stacked with books, an author signs a copy and hands it back with a nod. The shot does not move.",7410
"Behind a large foam-covered microphone in a dim radio studio, Barack Obama leans forward mid-sentence, headphones around his neck. Static, unmoving shot.","Behind a large foam-covered microphone in a dim radio studio, a deep-voiced man leans forward mid-sentence, headphones around his neck. Static, unmoving shot.","Behind a large foam-covered microphone in a dim radio studio, a guest leans forward mid-sentence, headphones around their neck. Static, unmoving shot.",7411
"On a golf tee overlooking rolling green fairways, Barack Obama sets up his swing, club resting against the ground. Camera fixed, no zoom or pan.","On a golf tee overlooking rolling green fairways, an athletic man in a collared shirt sets up his swing, club resting against the ground. Camera fixed, no zoom or pan.","On a golf tee overlooking rolling green fairways, a golfer sets up their swing, club resting against the ground. Camera fixed, no zoom or pan.",7412
"Standing at a granite kitchen counter, Barack Obama stirs a pot and tastes it from a wooden spoon, smiling at the camera. The shot holds completely steady.","Standing at a granite kitchen counter, a rounder-faced man in an apron stirs a pot and tastes it from a wooden spoon, smiling at the camera. The shot holds completely steady.","Standing at a granite kitchen counter, a cook stirs a pot and tastes it from a wooden spoon, smiling at the camera. The shot holds completely steady.",7413
"In a school gymnasium set up with folding chairs, Barack Obama takes a microphone from an aide and gestures toward the crowd. The camera never pans or tilts.","In a school gymnasium set up with folding chairs, a lanky man in rolled-up sleeves takes a microphone from an aide and gestures toward the crowd. The camera never pans or tilts.","In a school gymnasium set up with folding chairs, a speaker takes a microphone from an aide and gestures toward the crowd. The camera never pans or tilts.",7414
"Inside a vast aircraft hangar lined with uniformed troops, Barack Obama walks past shaking hands one by one. The frame is locked in place.","Inside a vast aircraft hangar lined with uniformed troops, a broad-shouldered man in a dark overcoat walks past shaking hands one by one. The frame is locked in place.","Inside a vast aircraft hangar lined with uniformed troops, a visiting official walks past shaking hands one by one. The frame is locked in place.",7415
"Amid framed canvases in a white-walled gallery, Barack Obama studies a painting, one hand on his chin. The camera is completely stationary.","Amid framed canvases in a white-walled gallery, a thin man in round glasses studies a painting, one hand on his chin. The camera is completely stationary.","Amid framed canvases in a white-walled gallery, a visitor studies a painting, one hand on their chin. The camera is completely stationary.",7416
"Standing on a tiled subway platform as a train rushes past behind him, Barack Obama checks his watch. Not a single camera movement occurs.","Standing on a tiled subway platform as a train rushes past behind him, a heavyset man in a wool coat checks his watch. Not a single camera movement occurs.","Standing on a tiled subway platform as a train rushes past behind them, a commuter checks their watch. Not a single camera movement occurs.",7417
"Leaning on a marble coffee shop counter, Barack Obama orders from the barista, wallet still in hand. The shot is locked down, no drift.","Leaning on a marble coffee shop counter, a graying man in a zip-up jacket orders from the barista, wallet still in hand. The shot is locked down, no drift.","Leaning on a marble coffee shop counter, a customer orders from the barista, wallet still in hand. The shot is locked down, no drift.",7418
