prompt,seed,class_name,class_idx
"A vintage portable cassette player sits on a wooden desk, its tape spools turning slowly behind the window.",4041,cassette player,482
"Close-up of a silver cassette player with a tape being pushed into the deck, buttons catching the light.",4042,cassette player,482
"A worn 1980s cassette player on a windowsill, dust on its casing, soft afternoon light across the buttons.",4043,cassette player,482
"An old cassette player rests on a car dashboard, its display glowing faintly in the evening.",4044,cassette player,482
"A boombox-style cassette player stands on a concrete step, chrome trim and speaker grilles clearly visible.",4045,cassette player,482
"Overhead shot of a cassette player and a stack of tapes on a bedroom carpet, warm lamp light.",4046,cassette player,482
"A hand presses play on a black cassette player, the mechanism clicking as the reels begin to turn.",4047,cassette player,482
"A cassette player sits on a shelf beside old books, photorealistic, shallow depth of field.",4048,cassette player,482
"Macro shot of the transparent window of a cassette player, tape moving between the two spools.",4049,cassette player,482
"A portable cassette player with headphones coiled beside it on a café table, condensation on a glass nearby.",4050,cassette player,482
"A dusty cassette player on a workbench in a garage, tools scattered around it, hard overhead light.",4051,cassette player,482
"A silver cassette player photographed against a plain studio backdrop, single soft key light.",4052,cassette player,482
"A cassette player on a kitchen counter plays quietly, its small VU meter needle twitching.",4053,cassette player,482
"An old cassette player at a flea market stall among other second-hand electronics, midday sun.",4054,cassette player,482
"A cassette player sits on a bedside table next to an alarm clock, curtains glowing with morning light.",4055,cassette player,482
"Close-up of the worn buttons of a cassette player being pressed one after another, photorealistic.",4056,cassette player,482
"A cassette player mounted in the dash of a classic car, wood trim around it, sunlight through the windscreen.",4057,cassette player,482
"A cassette player on a picnic blanket in a park, grass and dappled shade around it.",4058,cassette player,482
"A boxy grey cassette player on a school desk, its cable trailing off the edge, fluorescent lighting.",4059,cassette player,482
A cassette player rests on a stack of vinyl records in a dim room lit by a single lamp.,4060,cassette player,482
