prompt_a,prompt_b,prompt_c,seed
"In a medium close-up inside a parked car, Barack Obama turns from the wheel to face the camera and speaks. The shot holds perfectly still.","In a medium close-up inside a parked car, a heavyset man with a shaved head turns from the wheel to face the camera and speaks. The shot holds perfectly still.","In a medium close-up inside a parked car, a driver turns from the wheel to face the camera and speaks. The shot holds perfectly still.",7861
"Close to camera at an office doorway, Barack Obama leans against the frame and looks straight at the lens, sleeves rolled up. The camera is fixed and never moves.","Close to camera at an office doorway, a broad-shouldered man in a navy suit leans against the frame and looks straight at the lens, sleeves rolled up. The camera is fixed and never moves.","Close to camera at an office doorway, a staffer leans against the frame and looks straight at the lens, sleeves rolled up. The camera is fixed and never moves.",7862
"In a tight medium shot in a locker room, Barack Obama towels off his neck and turns to face the camera, grinning. Static shot, no camera movement.","In a tight medium shot in a locker room, a stocky man with a buzz cut towels off his neck and turns to face the camera, grinning. Static shot, no camera movement.","In a tight medium shot in a locker room, a player towels off their neck and turns to face the camera, grinning. Static shot, no camera movement.",7863
"Framed close to camera at a church pew, Barack Obama turns from the hymnal to face the lens and nods to someone off-screen. Camera locked in place, unmoving.","Framed close to camera at a church pew, a lean older man in a gray suit turns from the hymnal to face the lens and nods to someone off-screen. Camera locked in place, unmoving.","Framed close to camera at a church pew, a congregant turns from the hymnal to face the lens and nods to someone off-screen. Camera locked in place, unmoving.",7864
"In a medium close-up on an airport jet bridge, Barack Obama pauses and turns fully to face the camera before boarding. The frame never shifts.","In a medium close-up on an airport jet bridge, a lean man in shirtsleeves pauses and turns fully to face the camera before boarding. The frame never shifts.","In a medium close-up on an airport jet bridge, a traveler pauses and turns fully to face the camera before boarding. The frame never shifts.",7865
"Close to camera at a barbecue grill, Barack Obama flips a burger and looks up to face the lens with a grin. The shot is completely static.","Close to camera at a barbecue grill, a broad-faced man in an apron flips a burger and looks up to face the lens with a grin. The shot is completely static.","Close to camera at a barbecue grill, a host flips a burger and looks up to face the lens with a grin. The shot is completely static.",7866
"In a medium close-up at a piano, Barack Obama pauses mid-song and turns to face the camera, hands still on the keys. The camera holds its position throughout.","In a medium close-up at a piano, a slim man with wire-rimmed glasses pauses mid-song and turns to face the camera, hands still on the keys. The camera holds its position throughout.","In a medium close-up at a piano, a musician pauses mid-song and turns to face the camera, hands still on the keys. The camera holds its position throughout.",7867
"Framed close to camera at a barbershop chair, Barack Obama looks into the mirror and toward the camera as the clippers pause. Fixed camera angle, no motion.","Framed close to camera at a barbershop chair, a square-jawed man with a buzz cut looks into the mirror and toward the camera as the clippers pause. Fixed camera angle, no motion.","Framed close to camera at a barbershop chair, a customer looks into the mirror and toward the camera as the clippers pause. Fixed camera angle, no motion.",7868
"In a tight medium shot at a food truck window, Barack Obama leans out to hand over a plate, facing the camera. The camera remains perfectly still.","In a tight medium shot at a food truck window, a stocky man with a chef's cap leans out to hand over a plate, facing the camera. The camera remains perfectly still.","In a tight medium shot at a food truck window, a vendor leans out to hand over a plate, facing the camera. The camera remains perfectly still.",7869
"Close to camera in a locker-lined school hallway, Barack Obama turns from a bulletin board to face the lens. Static unmoving shot.","Close to camera in a locker-lined school hallway, a tall balding man in a corduroy jacket turns from a bulletin board to face the lens. Static unmoving shot.","Close to camera in a locker-lined school hallway, a visitor turns from a bulletin board to face the lens. Static unmoving shot.",7870
"In a medium close-up beside a fire truck, Barack Obama turns from the hose reel to face the camera, helmet under one arm. The shot never moves.","In a medium close-up beside a fire truck, a broad-shouldered man with a red beard turns from the hose reel to face the camera, helmet under one arm. The shot never moves.","In a medium close-up beside a fire truck, a firefighter turns from the hose reel to face the camera, helmet under one arm. The shot never moves.",7871
"Framed close to camera at a farm stand register, Barack Obama counts out change and looks up to face the lens. The camera does not pan or tilt.","Framed close to camera at a farm stand register, a ruddy-faced man in a flat cap counts out change and looks up to face the lens. The camera does not pan or tilt.","Framed close to camera at a farm stand register, a vendor counts out change and looks up to face the lens. The camera does not pan or tilt.",7872
"In a tight medium close-up at a wedding reception table, Barack Obama raises a glass and turns to face the camera. The camera holds steady without any movement.","In a tight medium close-up at a wedding reception table, a tall man in a black tuxedo raises a glass and turns to face the camera. The camera holds steady without any movement.","In a tight medium close-up at a wedding reception table, a guest raises a glass and turns to face the camera. The camera holds steady without any movement.",7873
"Close to camera at a subway turnstile, Barack Obama pauses and looks back toward the lens before passing through. Not a single camera movement occurs.","Close to camera at a subway turnstile, a heavyset man in a wool coat pauses and looks back toward the lens before passing through. Not a single camera movement occurs.","Close to camera at a subway turnstile, a commuter pauses and looks back toward the lens before passing through. Not a single camera movement occurs.",7874
"In a medium close-up at a woodworking bench, Barack Obama sets down a chisel and turns to face the camera, sawdust on his sleeves. The shot holds completely steady.","In a medium close-up at a woodworking bench, a rounder-faced man in an apron sets down a chisel and turns to face the camera, sawdust on his sleeves. The shot holds completely steady.","In a medium close-up at a woodworking bench, a craftsman sets down a chisel and turns to face the camera, sawdust on their sleeves. The shot holds completely steady.",7875
"Framed close to camera at a greenhouse potting table, Barack Obama brushes soil from his hands and looks up toward the lens. The camera is completely stationary.","Framed close to camera at a greenhouse potting table, a lanky man with tousled hair brushes soil from his hands and looks up toward the lens. The camera is completely stationary.","Framed close to camera at a greenhouse potting table, a gardener brushes soil from their hands and looks up toward the lens. The camera is completely stationary.",7876
"In a tight medium shot at a boxing gym, Barack Obama pulls off a glove and turns to face the camera, breathing hard. The camera remains rigidly still.","In a tight medium shot at a boxing gym, a stocky man with a broken-looking nose pulls off a glove and turns to face the camera, breathing hard. The camera remains rigidly still.","In a tight medium shot at a boxing gym, a boxer pulls off a glove and turns to face the camera, breathing hard. The camera remains rigidly still.",7877
"Close to camera at a pottery wheel, Barack Obama looks up from the wet clay to face the lens, hands still cupped around the piece. The shot does not move a single pixel.","Close to camera at a pottery wheel, a slender man in round glasses looks up from the wet clay to face the lens, hands still cupped around the piece. The shot does not move a single pixel.","Close to camera at a pottery wheel, a potter looks up from the wet clay to face the lens, hands still cupped around the piece. The shot does not move a single pixel.",7878
"In a medium close-up at a campaign office desk, Barack Obama sets down the phone and turns to face the camera. The camera holds its frame without moving.","In a medium close-up at a campaign office desk, a solidly built man in a charcoal suit sets down the phone and turns to face the camera. The camera holds its frame without moving.","In a medium close-up at a campaign office desk, a volunteer sets down the phone and turns to face the camera. The camera holds its frame without moving.",7879
"Framed close to camera at a ferry railing, Barack Obama turns from the water to face the camera, wind in his jacket. The frame is completely still.","Framed close to camera at a ferry railing, a broad-nosed man with cropped gray hair turns from the water to face the camera, wind in his jacket. The frame is completely still.","Framed close to camera at a ferry railing, a passenger turns from the water to face the camera, wind in their jacket. The frame is completely still.",7880
