prompt_a,prompt_b,prompt_c,seed
"A medium close-up of Barack Obama seated in a leather armchair in a warmly lit study, hands clasped, speaking directly to the camera. The shot holds perfectly still.","A medium close-up of a stocky bald man in a cardigan seated in a leather armchair in a warmly lit study, hands clasped, speaking directly to the camera. The shot holds perfectly still.","A medium close-up of a person seated in a leather armchair in a warmly lit study, hands clasped, speaking directly to the camera. The shot holds perfectly still.",7831
"In a close-up under studio lighting, Barack Obama looks straight into the lens and begins to speak, a lapel microphone clipped to his jacket. The camera does not move.","In a close-up under studio lighting, a heavyset man with a shaved head looks straight into the lens and begins to speak, a lapel microphone clipped to his jacket. The camera does not move.","In a close-up under studio lighting, a guest looks straight into the lens and begins to speak, a lapel microphone clipped to their jacket. The camera does not move.",7832
"Seated across a small round table in a quiet cafe, Barack Obama leans forward in medium close-up, both hands wrapped around a coffee cup, facing the camera. The frame stays locked.","Seated across a small round table in a quiet cafe, a wiry man with a goatee leans forward in medium close-up, both hands wrapped around a coffee cup, facing the camera. The frame stays locked.","Seated across a small round table in a quiet cafe, a customer leans forward in medium close-up, both hands wrapped around a coffee cup, facing the camera. The frame stays locked.",7833
"Facing the camera in a tight medium shot on a debate stage, Barack Obama grips the podium edge and makes a point, brow furrowed. Not a single camera movement occurs.","Facing the camera in a tight medium shot on a debate stage, a burly man with a thick mustache grips the podium edge and makes a point, brow furrowed. Not a single camera movement occurs.","Facing the camera in a tight medium shot on a debate stage, a candidate grips the podium edge and makes a point, brow furrowed. Not a single camera movement occurs.",7834
"In a close-up interview setup against a dark backdrop, Barack Obama nods slowly while answering a question, eyes fixed on the camera. The camera remains perfectly still.","In a close-up interview setup against a dark backdrop, a lanky older man with silver stubble nods slowly while answering a question, eyes fixed on the camera. The camera remains perfectly still.","In a close-up interview setup against a dark backdrop, an interviewee nods slowly while answering a question, eyes fixed on the camera. The camera remains perfectly still.",7835
"Framed in medium close-up at a kitchen table under soft window light, Barack Obama pours syrup over a stack of pancakes and grins at the camera. The shot is fixed and does not drift.","Framed in medium close-up at a kitchen table under soft window light, a round-faced man in a flannel shirt pours syrup over a stack of pancakes and grins at the camera. The shot is fixed and does not drift.","Framed in medium close-up at a kitchen table under soft window light, a host pours syrup over a stack of pancakes and grins at the camera. The shot is fixed and does not drift.",7836
"Standing close to the camera in a softly lit hallway, Barack Obama straightens his tie and looks directly into the lens before speaking. The camera holds its position throughout.","Standing close to the camera in a softly lit hallway, a broad-chested man in shirtsleeves straightens his tie and looks directly into the lens before speaking. The camera holds its position throughout.","Standing close to the camera in a softly lit hallway, a staffer straightens their tie and looks directly into the lens before speaking. The camera holds its position throughout.",7837
"In a medium close-up on a talk-show couch, Barack Obama laughs and leans toward the camera, one arm draped along the backrest. The shot never moves.","In a medium close-up on a talk-show couch, a thickset man with a graying beard laughs and leans toward the camera, one arm draped along the backrest. The shot never moves.","In a medium close-up on a talk-show couch, a guest laughs and leans toward the camera, one arm draped along the backrest. The shot never moves.",7838
"Close to camera at a hospital bedside, Barack Obama leans in and smiles warmly at the patient, his face filling most of the frame. The camera is completely stationary.","Close to camera at a hospital bedside, a compact man with round cheeks leans in and smiles warmly at the patient, his face filling most of the frame. The camera is completely stationary.","Close to camera at a hospital bedside, a visitor leans in and smiles warmly at the patient, their face filling most of the frame. The camera is completely stationary.",7839
"In tight medium close-up behind a classroom lectern, Barack Obama looks up from his notes and addresses the room, facing forward the whole time. The camera does not pan or tilt.","In tight medium close-up behind a classroom lectern, a tall balding man in a corduroy jacket looks up from his notes and addresses the room, facing forward the whole time. The camera does not pan or tilt.","In tight medium close-up behind a classroom lectern, a teacher looks up from their notes and addresses the room, facing forward the whole time. The camera does not pan or tilt.",7840
"Framed in medium close-up at a campaign phone bank, Barack Obama holds a handset to his ear and speaks warmly into it, eyes forward. The shot is locked down, no drift.","Framed in medium close-up at a campaign phone bank, a stout man with close-cropped hair holds a handset to his ear and speaks warmly into it, eyes forward. The shot is locked down, no drift.","Framed in medium close-up at a campaign phone bank, a volunteer holds a handset to their ear and speaks warmly into it, eyes forward. The shot is locked down, no drift.",7841
"In a close-up at a barbershop mirror, Barack Obama turns to face the camera mid-conversation, a cape draped over his shoulders. The camera stays fixed the entire time.","In a close-up at a barbershop mirror, a square-jawed man with a buzz cut turns to face the camera mid-conversation, a cape draped over his shoulders. The camera stays fixed the entire time.","In a close-up at a barbershop mirror, a customer turns to face the camera mid-conversation, a cape draped over their shoulders. The camera stays fixed the entire time.",7842
"Seated close to camera at a chess table in a park, Barack Obama looks up and grins before making his move. The frame never shifts.","Seated close to camera at a chess table in a park, an angular man with wire-rimmed glasses looks up and grins before making his move. The frame never shifts.","Seated close to camera at a chess table in a park, a player looks up and grins before making their move. The frame never shifts.",7843
"In a medium close-up at a podcast desk, Barack Obama adjusts his headphones and leans toward the microphone, facing the camera. Static camera, unmoving throughout the take.","In a medium close-up at a podcast desk, a heavyset man with a full beard adjusts his headphones and leans toward the microphone, facing the camera. Static camera, unmoving throughout the take.","In a medium close-up at a podcast desk, a host adjusts their headphones and leans toward the microphone, facing the camera. Static camera, unmoving throughout the take.",7844
"Close to the camera at a bakery counter, Barack Obama holds up a fresh loaf and smiles toward the lens. The shot holds completely steady.","Close to the camera at a bakery counter, a portly man in a flour-dusted apron holds up a fresh loaf and smiles toward the lens. The shot holds completely steady.","Close to the camera at a bakery counter, a baker holds up a fresh loaf and smiles toward the lens. The shot holds completely steady.",7845
