prompt_a,prompt_b,prompt_c,seed
"Queen Elizabeth II, wearing a pale green coat and matching hat, greets a line of guests at a palace garden party, shaking each hand in turn. The camera is fixed and never moves.","A stout woman in a floral summer dress and wide-brimmed straw hat greets a line of guests at a palace garden party, shaking each hand in turn. The camera is fixed and never moves.","A hostess greets a line of guests at a palace garden party, shaking each hand in turn. The camera is fixed and never moves.",7701
"In a sunlit stable yard, Queen Elizabeth II strokes the nose of a chestnut horse held by a groom. Static shot, no camera movement.","In a sunlit stable yard, a slender, silver-haired woman in a tweed jacket strokes the nose of a chestnut horse held by a groom. Static shot, no camera movement.","In a sunlit stable yard, a visitor strokes the nose of a chestnut horse held by a groom. Static shot, no camera movement.",7702
"Queen Elizabeth II steps onto the Buckingham Palace balcony and raises one gloved hand to wave at the crowd below. The frame stays locked throughout.","A tall, composed woman in a powder-blue coat steps onto the Buckingham Palace balcony and raises one gloved hand to wave at the crowd below. The frame stays locked throughout.","A member of the royal party steps onto the Buckingham Palace balcony and raises one gloved hand to wave at the crowd below. The frame stays locked throughout.",7703
"Queen Elizabeth II walks along a gravel path at Sandringham with two corgis trotting at her heels. Camera locked in place, unmoving.","A short, sturdy woman in a headscarf and green wellingtons walks along a gravel path at Sandringham with two corgis trotting at her heels. Camera locked in place, unmoving.","An estate visitor walks along a gravel path at Sandringham with two corgis trotting at her heels. Camera locked in place, unmoving.",7704
"Seated at the head of a long banquet table, Queen Elizabeth II raises a crystal glass in a toast to her guests. The camera holds its position the entire time.","Seated at the head of a long banquet table, an elderly woman in a formal gown and diamond tiara raises a crystal glass in a toast to her guests. The camera holds its position the entire time.","Seated at the head of a long banquet table, the host raises a crystal glass in a toast to her guests. The camera holds its position the entire time.",7705
"From a raised reviewing stand, Queen Elizabeth II salutes as a column of guardsmen marches past in formation. The shot remains completely static.","From a raised reviewing stand, an upright, gray-haired woman in military-style dress salutes as a column of guardsmen marches past in formation. The shot remains completely static.","From a raised reviewing stand, a dignitary salutes as a column of guardsmen marches past in formation. The shot remains completely static.",7706
"Seated on a gilded throne, Queen Elizabeth II reads from a scroll to open a new session of Parliament. Static shot throughout, camera never shifts.","Seated on a gilded throne, a small, white-haired woman in ceremonial red robes reads from a scroll to open a new session of Parliament. Static shot throughout, camera never shifts.","Seated on a gilded throne, the presiding figure reads from a scroll to open a new session of Parliament. Static shot throughout, camera never shifts.",7707
"In a marble entrance hall, Queen Elizabeth II shakes hands with a visiting head of state as photographers look on. The camera does not move.","In a marble entrance hall, a poised, silver-haired woman in a lilac suit shakes hands with a visiting head of state as photographers look on. The camera does not move.","In a marble entrance hall, the host shakes hands with a visiting head of state as photographers look on. The camera does not move.",7708
"Queen Elizabeth II walks through the arched doorway of a stone chapel, a small handbag over one arm. The shot holds perfectly still.","A slight, elderly woman in a dark wool coat and matching hat walks through the arched doorway of a stone chapel, a small handbag over one arm. The shot holds perfectly still.","A churchgoer walks through the arched doorway of a stone chapel, a small handbag over one arm. The shot holds perfectly still.",7709
"On a red carpet outside a theatre, Queen Elizabeth II pauses to speak briefly with a film director. Camera fixed in place, no movement.","On a red carpet outside a theatre, a composed, gray-haired woman in a sequined evening coat pauses to speak briefly with a film director. Camera fixed in place, no movement.","On a red carpet outside a theatre, a guest of honor pauses to speak briefly with a film director. Camera fixed in place, no movement.",7710
"Riding in an open state coach drawn by white horses, Queen Elizabeth II waves to crowds lining the street. The frame does not move.","Riding in an open state coach drawn by white horses, a straight-backed, elderly woman in a fur-trimmed cloak waves to crowds lining the street. The frame does not move.","Riding in an open state coach drawn by white horses, a passenger waves to crowds lining the street. The frame does not move.",7711
"Standing beside the bow of a new ship, Queen Elizabeth II swings a bottle of champagne to break it against the hull. Static shot, camera never moves.","Standing beside the bow of a new ship, a broad-shouldered, middle-aged woman in a wool coat swings a bottle of champagne to break it against the hull. Static shot, camera never moves.","Standing beside the bow of a new ship, the officiant swings a bottle of champagne to break it against the hull. Static shot, camera never moves.",7712
"Queen Elizabeth II walks slowly along a line of soldiers standing at attention, pausing occasionally to speak with one. The camera stays perfectly still.","A petite, silver-haired woman in a tailored coat walks slowly along a line of soldiers standing at attention, pausing occasionally to speak with one. The camera stays perfectly still.","An inspecting officer walks slowly along a line of soldiers standing at attention, pausing occasionally to speak with one. The camera stays perfectly still.",7713
"Queen Elizabeth II pulls back a small curtain to unveil a bronze plaque on a stone wall. The shot never shifts.","A stout, gray-haired woman in a mint-green suit pulls back a small curtain to unveil a bronze plaque on a stone wall. The shot never shifts.","A guest of honor pulls back a small curtain to unveil a bronze plaque on a stone wall. The shot never shifts.",7714
"Queen Elizabeth II bends slightly to accept a small bouquet from a child in a school uniform. Camera locked, no motion throughout.","A kindly, white-haired woman in a pale yellow dress bends slightly to accept a small bouquet from a child in a school uniform. Camera locked, no motion throughout.","A visiting dignitary bends slightly to accept a small bouquet from a child in a school uniform. Camera locked, no motion throughout.",7715
"Queen Elizabeth II taps a ceremonial sword lightly on each shoulder of a kneeling recipient. The camera remains fixed the whole time.","A composed, elderly woman in a formal day dress taps a ceremonial sword lightly on each shoulder of a kneeling recipient. The camera remains fixed the whole time.","The presiding official taps a ceremonial sword lightly on each shoulder of a kneeling recipient. The camera remains fixed the whole time.",7716
"Seated in a canvas chair beside a polo field, Queen Elizabeth II claps as a player scores a goal. Static throughout, the camera never pans.","Seated in a canvas chair beside a polo field, a slim, older woman in a headscarf and sunglasses claps as a player scores a goal. Static throughout, the camera never pans.","Seated in a canvas chair beside a polo field, a spectator claps as a player scores a goal. Static throughout, the camera never pans.",7717
