prompt,seed,class_name,class_idx
"A green garbage truck moves slowly along a suburban street on a bright morning, photorealistic.",4121,garbage truck,569
"A garbage truck parked at the kerb with its rear loader raised, bins lined up on the pavement.",4122,garbage truck,569
"Close-up of the rear hopper of a garbage truck compacting refuse, hydraulic arms in motion.",4123,garbage truck,569
A white garbage truck turns a corner in a narrow city street between tall buildings.,4124,garbage truck,569
"A garbage truck stands in a depot yard at dawn, other trucks parked in a row behind it.",4125,garbage truck,569
A garbage truck lifts a wheeled bin with its mechanical arm outside a row of terraced houses.,4126,garbage truck,569
"A garbage truck drives away down a wet street, tail lights reflected in the puddles.",4127,garbage truck,569
A garbage truck parked beside an industrial container yard under a flat grey sky.,4128,garbage truck,569
"Side view of a garbage truck idling at a junction, exhaust visible in the cold morning air.",4129,garbage truck,569
"A garbage truck in a residential cul-de-sac, workers walking alongside it between the houses.",4130,garbage truck,569
"A garbage truck on a rural road passing green hedgerows, midday sun on its dusty paintwork.",4131,garbage truck,569
"An orange garbage truck reverses into a narrow alley, warning lights flashing on its cab.",4132,garbage truck,569
"A garbage truck at a landfill site, tipping its load, gulls circling overhead.",4133,garbage truck,569
"A garbage truck washed and parked in a depot, its bodywork gleaming under floodlights at night.",4134,garbage truck,569
"A garbage truck moving through a snowy street, slush thrown up behind its wheels.",4135,garbage truck,569
Front three-quarter view of a garbage truck stopped at a red light in a busy city.,4136,garbage truck,569
"A garbage truck in a supermarket service yard, loading bay doors open behind it.",4137,garbage truck,569
A garbage truck seen from an upper window as it works its way along a tree-lined avenue.,4138,garbage truck,569
"A garbage truck parked outside an apartment block, its compactor running, morning light on the walls.",4139,garbage truck,569
A garbage truck driving along a coastal road with the sea visible beyond the railings.,4140,garbage truck,569
