prompt_a,prompt_b,prompt_c,seed
"A static head-and-shoulders portrait video of Queen Elizabeth II in a softly lit palace sitting room. Her unobstructed full face fills the center of the frame as she looks directly into the camera and gives a gentle smile. Only her head and shoulders are visible throughout.","A static head-and-shoulders portrait video of a young dark-haired woman in the same softly lit sitting room. Her unobstructed full face fills the center of the frame as she looks directly into the camera and gives a gentle smile. Only her head and shoulders are visible throughout.","A static head-and-shoulders portrait video of a woman in a softly lit sitting room. Her unobstructed full face fills the center of the frame as she looks directly into the camera and gives a gentle smile. Only her head and shoulders are visible throughout.",8001
"In a locked-off head-and-shoulders portrait, Queen Elizabeth II wears a pale blue jacket and pearls against a plain warm-grey background. Her entire face remains clearly visible in the middle of the image while she looks into the lens and blinks naturally.","In a locked-off head-and-shoulders portrait, a middle-aged Black woman with short curly hair wears a burgundy blouse against the same warm-grey background. Her entire face remains clearly visible in the middle of the image while she looks into the lens and blinks naturally.","In a locked-off head-and-shoulders portrait, a woman stands against a plain warm-grey background. Her entire face remains clearly visible in the middle of the image while she looks into the lens and blinks naturally.",8002
"A close frontal portrait video shows Queen Elizabeth II seated before a softly blurred library background. Her face is large, centered, unobstructed, and facing the camera throughout as her expression changes from thoughtful to warmly amused. The camera never moves.","A close frontal portrait video shows a slim red-haired woman seated before the same softly blurred library background. Her face is large, centered, unobstructed, and facing the camera throughout as her expression changes from thoughtful to warmly amused. The camera never moves.","A close frontal portrait video shows a seated woman before a softly blurred library background. Her face is large, centered, unobstructed, and facing the camera throughout as her expression changes from thoughtful to warmly amused. The camera never moves.",8003
"Queen Elizabeth II appears alone in a static shoulders-up interview shot, wearing a lavender jacket with a small brooch. Soft window light evenly illuminates her clearly visible face as she maintains eye contact with the camera and speaks calmly.","A young East Asian woman appears alone in the same static shoulders-up interview shot, wearing a dark green sweater. Soft window light evenly illuminates her clearly visible face as she maintains eye contact with the camera and speaks calmly.","A woman appears alone in a static shoulders-up interview shot. Soft window light evenly illuminates her clearly visible face as she maintains eye contact with the camera and speaks calmly.",8004
"A tight portrait frames Queen Elizabeth II from the shoulders upward in a bright conservatory. Her full face stays centered and uncovered, looking straight at the viewer while she smiles and makes one small nod. The fixed camera holds the same composition.","A broad-faced woman with cropped black hair is framed from the shoulders upward in the same bright conservatory. Her full face stays centered and uncovered, looking straight at the viewer while she smiles and makes one small nod. The fixed camera holds the same composition.","A woman is framed from the shoulders upward in a bright conservatory. Her full face stays centered and uncovered, looking straight at the viewer while she smiles and makes one small nod. The fixed camera holds the same composition.",8005
"In an evenly lit studio portrait, Queen Elizabeth II wears a cream jacket and a single strand of pearls. Her head and shoulders fill the frame, her full frontal face remains sharp and unobstructed, and she looks into the lens with a composed expression. Static camera.","In the same evenly lit studio portrait, a freckled young woman with auburn hair wears a navy blouse. Her head and shoulders fill the frame, her full frontal face remains sharp and unobstructed, and she looks into the lens with a composed expression. Static camera.","In an evenly lit studio portrait, a woman's head and shoulders fill the frame. Her full frontal face remains sharp and unobstructed, and she looks into the lens with a composed expression. Static camera.",8006
"A locked camera records a close head-and-shoulders portrait of Queen Elizabeth II against softly blurred garden greenery. Daylight falls evenly across her centered face while she looks directly at the camera and gives a restrained smile. Her face remains fully visible throughout.","A locked camera records a close head-and-shoulders portrait of a heavyset woman with straight dark hair against the same softly blurred garden greenery. Daylight falls evenly across her centered face while she looks directly at the camera and gives a restrained smile. Her face remains fully visible throughout.","A locked camera records a close head-and-shoulders portrait of a woman against softly blurred garden greenery. Daylight falls evenly across her centered face while she looks directly at the camera and gives a restrained smile. Her face remains fully visible throughout.",8007
"Queen Elizabeth II is shown alone in a frontal shoulders-up video portrait inside a quiet drawing room, wearing a rose-pink jacket. Her face occupies the center of the shot without any obstruction as she speaks a short sentence to camera. The framing never changes.","A tall olive-skinned woman with long black hair is shown alone in the same frontal shoulders-up video portrait inside the quiet drawing room, wearing a charcoal blouse. Her face occupies the center of the shot without any obstruction as she speaks a short sentence to camera. The framing never changes.","A woman is shown alone in a frontal shoulders-up video portrait inside a quiet drawing room. Her face occupies the center of the shot without any obstruction as she speaks a short sentence to camera. The framing never changes.",8008
"A close, static portrait of Queen Elizabeth II fills the image from shoulders to crown. She wears a turquoise jacket and pearl earrings; her unobstructed face looks straight into the lens under soft, flattering light while she blinks and smiles naturally.","A close, static portrait of a young woman with a shaved head fills the image from shoulders to crown. She wears a rust-colored sweater; her unobstructed face looks straight into the lens under the same soft light while she blinks and smiles naturally.","A close, static portrait of a woman fills the image from shoulders to crown. Her unobstructed face looks straight into the lens under soft, flattering light while she blinks and smiles naturally.",8009
"In a formal head-and-shoulders portrait video, Queen Elizabeth II sits before a deep blue curtain wearing a white evening dress and modest tiara. Her entire face is centered, brightly visible, and turned toward the camera for the whole clip as she holds a gentle smile. No camera movement.","In the same formal head-and-shoulders portrait video, a middle-aged woman with a dark bob sits before the deep blue curtain wearing a plain orange dress and no headpiece. Her entire face is centered, brightly visible, and turned toward the camera for the whole clip as she holds a gentle smile. No camera movement.","In a formal head-and-shoulders portrait video, a woman sits before a deep blue curtain. Her entire face is centered, brightly visible, and turned toward the camera for the whole clip as she holds a gentle smile. No camera movement.",8010
"A static medium close portrait shows Queen Elizabeth II in a sunlit reception room, wearing a yellow jacket and pearls. Only her head and shoulders appear, with her clear frontal face centered as she looks at the lens and slowly changes from serious to smiling.","A static medium close portrait shows a slender South Asian woman with long dark hair in the same sunlit reception room, wearing a purple blouse. Only her head and shoulders appear, with her clear frontal face centered as she looks at the lens and slowly changes from serious to smiling.","A static medium close portrait shows a woman in a sunlit reception room. Only her head and shoulders appear, with her clear frontal face centered as she looks at the lens and slowly changes from serious to smiling.",8011
"Queen Elizabeth II faces the viewer in a locked-off shoulders-up portrait against a softly blurred palace corridor. Her face is large and unobstructed in the center of the frame while she speaks quietly and maintains direct eye contact. Soft light keeps every facial feature visible.","A round-faced young woman with short ginger hair faces the viewer in the same locked-off shoulders-up portrait against the softly blurred corridor. Her face is large and unobstructed in the center of the frame while she speaks quietly and maintains direct eye contact. Soft light keeps every facial feature visible.","A woman faces the viewer in a locked-off shoulders-up portrait against a softly blurred corridor. Her face is large and unobstructed in the center of the frame while she speaks quietly and maintains direct eye contact. Soft light keeps every facial feature visible.",8012
"A close frontal portrait of Queen Elizabeth II is filmed with a fixed camera beside a bright sitting-room window. Wearing a mint-green jacket and brooch, she keeps her whole face toward the lens, centered and uncovered, and gives a small approving nod.","A thin woman with silver dreadlocks is filmed in the same close frontal portrait beside the bright sitting-room window. Wearing a maroon cardigan, she keeps her whole face toward the lens, centered and uncovered, and gives a small approving nod.","A woman is filmed in a close frontal portrait beside a bright sitting-room window. She keeps her whole face toward the lens, centered and uncovered, and gives a small approving nod.",8013
"In a static head-and-shoulders video portrait, Queen Elizabeth II wears a coral jacket against a simple cream wall. Her clearly lit full face fills the central frame while she looks directly at the camera, blinks, and forms a warm smile. Nothing passes in front of her face.","In the same static head-and-shoulders video portrait, a young Black woman with long braids wears a forest-green shirt against the cream wall. Her clearly lit full face fills the central frame while she looks directly at the camera, blinks, and forms a warm smile. Nothing passes in front of her face.","In a static head-and-shoulders video portrait, a woman's clearly lit full face fills the central frame against a simple cream wall while she looks directly at the camera, blinks, and forms a warm smile. Nothing passes in front of her face.",8014
"Queen Elizabeth II sits alone for a locked-camera shoulders-up portrait in a warmly lit wood-paneled room. A pearl necklace rests above her light grey jacket; her unobstructed frontal face remains centered as she calmly addresses the viewer.","A broad-shouldered woman with cropped brown hair sits alone for the same locked-camera shoulders-up portrait in the warmly lit wood-paneled room. A patterned scarf rests above her black blouse; her unobstructed frontal face remains centered as she calmly addresses the viewer.","A woman sits alone for a locked-camera shoulders-up portrait in a warmly lit wood-paneled room. Her unobstructed frontal face remains centered as she calmly addresses the viewer.",8015
"A bright outdoor head-and-shoulders portrait shows Queen Elizabeth II against a softly blurred rose garden. Her face is fully visible, front-facing, and centered throughout while she looks into the camera with a relaxed smile. The shot is steady and contains no other people.","A bright outdoor head-and-shoulders portrait shows a young blonde woman with a square face against the same softly blurred rose garden. Her face is fully visible, front-facing, and centered throughout while she looks into the camera with a relaxed smile. The shot is steady and contains no other people.","A bright outdoor head-and-shoulders portrait shows a woman against a softly blurred rose garden. Her face is fully visible, front-facing, and centered throughout while she looks into the camera with a relaxed smile. The shot is steady and contains no other people.",8016
"Queen Elizabeth II appears in a tight, static interview portrait before a dark neutral backdrop, wearing a royal-blue jacket and diamond brooch. Even key light reveals her complete face as she looks into the lens and speaks with a composed expression. Only head and shoulders are framed.","A middle-aged East Asian woman with a short black bob appears in the same tight, static interview portrait before the dark neutral backdrop, wearing a tan sweater. Even key light reveals her complete face as she looks into the lens and speaks with a composed expression. Only head and shoulders are framed.","A woman appears in a tight, static interview portrait before a dark neutral backdrop. Even key light reveals her complete face as she looks into the lens and speaks with a composed expression. Only head and shoulders are framed.",8017
"A fixed camera frames Queen Elizabeth II from the shoulders up in a pale, softly lit morning room. Her face stays large, sharp, unobstructed, and square to the viewer as she blinks once and smiles. She wears pearls and a powder-blue jacket.","A fixed camera frames a plump young woman with curly red hair from the shoulders up in the same pale morning room. Her face stays large, sharp, unobstructed, and square to the viewer as she blinks once and smiles. She wears a dark brown blouse.","A fixed camera frames a woman from the shoulders up in a pale, softly lit morning room. Her face stays large, sharp, unobstructed, and square to the viewer as she blinks once and smiles.",8018
