prompt,seed,class_name,class_idx
"A tench rests among sunken branches in a slow river, shafts of green light crossing its scaled back.",4301,tench,0
"A tench in a shallow tray of water on a weighing scale, riverbank grass visible around the frame.",4302,tench,0
"A tench turns lazily in a deep pool, its pale belly flashing as it changes direction.",4303,tench,0
"An English springer spaniel rolls on its back in warm grass, paws in the air, sun overhead.",4304,English springer,217
"An English springer spaniel waits by a garden gate, ears pricked, ivy on the fence behind it.",4305,English springer,217
"An English springer spaniel pads across a tiled kitchen floor toward a bowl, claws clicking softly.",4306,English springer,217
"A cassette player sits beside a mug of tea on a cluttered study desk, papers under warm lamp light.",4307,cassette player,482
"A cassette player rests on a rug in a sunlit attic, dust motes drifting in the beam from a skylight.",4308,cassette player,482
"A cassette player on a hotel nightstand, its buttons faintly lit in the darkened room.",4309,cassette player,482
"A chain saw hangs from two hooks on a shed wall above a row of hand tools, dim daylight.",4310,chain saw,491
"A chain saw sits on a plastic crate at the edge of an orchard, pruned branches piled nearby.",4311,chain saw,491
"A chain saw rests on the step of a forestry cabin, boots and gloves beside it on the wood.",4312,chain saw,491
"A church stands beyond a low churchyard wall, sheep grazing in the field between, soft cloudy light.",4313,church,497
"A church tower rises above bare winter trees, rooks circling around the belfry.",4314,church,497
"A church seen across a river at dusk, its lit windows reflected in the moving water.",4315,church,497
"A French horn rests on a folding chair backstage, cases and cables on the floor around it.",4316,French horn,566
"A French horn lies on a rehearsal-room piano bench, a folded cleaning cloth beside it.",4317,French horn,566
"A French horn stands upright on a rug in a living room, warm lamplight along the coiled tubing.",4318,French horn,566
"A garbage truck waits at a level crossing, barriers down, morning traffic queued behind it.",4319,garbage truck,569
"A garbage truck is parked in a maintenance bay, its cab tilted forward for servicing.",4320,garbage truck,569
"A garbage truck rolls past a row of market stalls in the early morning before the traders arrive.",4321,garbage truck,569
"A gas pump stands beside a lone birch tree on a quiet forecourt, leaves moving in the breeze.",4322,gas pump,571
"A gas pump under a corrugated shelter at a farm, a tractor parked in the yard behind it.",4323,gas pump,571
"A gas pump on a cracked concrete forecourt, its hose looped neatly, late afternoon shadows.",4324,gas pump,571
"A golf ball lies beside a hole cup on a green, the pin removed and resting on the turf.",4325,golf ball,574
"A golf ball rests on a mossy path between two fairways, ferns leaning in from the sides.",4326,golf ball,574
"A golf ball sits on a windowsill next to a scorecard and a short pencil, daylight from outside.",4327,golf ball,574
"A parachute descends over a river delta, water channels branching far below the canopy.",4328,parachute,701
"A parachute canopy is gathered in a jumper's arms on the drop zone, fabric spilling over their shoulder.",4329,parachute,701
"A parachute floats down through hazy afternoon light above a patchwork of harvested fields.",4330,parachute,701
