prompt,seed,class_name,class_idx
"A large tench fish resting on wet river stones in shallow clear water, its olive-green scales catching the afternoon sun, photorealistic close-up.",4001,tench,0
"A tench swims slowly through a weedy freshwater pond, sunlight filtering down through the green water onto its broad body.",4002,tench,0
"Close-up of a tench held above the surface of a lake by an angler, water dripping from its thick olive flanks.",4003,tench,0
"A tench lies on a wooden dock beside a fishing net, its scales glistening, the calm lake blurred behind it.",4004,tench,0
"Underwater shot of a tench feeding near a muddy pond bottom, silt drifting around its fins in the dim green light.",4005,tench,0
"A tench fish on a bed of crushed ice at a market stall, overhead light picking out the sheen of its dark scales.",4006,tench,0
"A tench glides past reeds in a slow-moving river, its tail fanning gently, photorealistic underwater footage.",4007,tench,0
"Macro shot of the head and gill plate of a tench, small red eye clearly visible, shallow depth of field.",4008,tench,0
"A tench rests in a shallow keepnet at the edge of a misty morning lake, dew on the surrounding grass.",4009,tench,0
"A tench turns slowly in a large aquarium tank, the glass reflecting soft blue light across its olive body.",4010,tench,0
"Overhead view of a tench lying on a wet stone slab beside a tape measure, riverbank vegetation at the edges.",4011,tench,0
"A tench swims into frame from the left in murky green pond water, bubbles rising behind it.",4012,tench,0
"A tench held in two wet hands over a river, evening light warming the golden edges of its scales.",4013,tench,0
"A tench hovers motionless above a bed of pondweed, small fish scattering around it, photorealistic.",4014,tench,0
"Studio shot of a tench on a dark slate surface, a single soft key light raking across its thick body.",4015,tench,0
"A tench moves slowly through a shaft of sunlight in a deep canal, its shadow sliding along the silty bottom.",4016,tench,0
"A tench lying on damp newspaper beside an old fishing rod, the tackle box open in the background.",4017,tench,0
"Slow tracking shot following a tench along the reed line of a still lake, photorealistic underwater view.",4018,tench,0
"A tench in a shallow plastic tub of pond water, seen from above, its fins moving gently against the sides.",4019,tench,0
"A tench breaks the surface of a quiet pond at dawn, ripples spreading outward, mist hanging over the water.",4020,tench,0
"An English springer spaniel bounds across a green meadow, its long ears flying, photorealistic and sharp.",4021,English springer,217
"An English springer sits attentively on a wooden porch, its liver-and-white coat lit by warm evening sun.",4022,English springer,217
"Close-up of an English springer spaniel panting happily, tongue out, blurred woodland behind it.",4023,English springer,217
"An English springer splashes through a shallow stream, water spraying up around its feathered legs.",4024,English springer,217
"An English springer spaniel lies on a living-room rug beside a fireplace, head resting on its paws.",4025,English springer,217
"An English springer runs toward the camera through tall grass, ears bouncing with each stride.",4026,English springer,217
"An English springer spaniel stands alert in a ploughed field on a grey autumn morning, tail held high.",4027,English springer,217
"An English springer shakes water from its coat at the edge of a lake, droplets flying in the sunlight.",4028,English springer,217
"Portrait of an English springer spaniel against a plain studio backdrop, soft key light, photorealistic.",4029,English springer,217
"An English springer trots along a woodland path covered in fallen leaves, dappled light on its back.",4030,English springer,217
"An English springer spaniel carries a tennis ball across a lawn, tail wagging, house blurred behind.",4031,English springer,217
"An English springer rests in the back of an open estate car, muddy paws on a folded blanket.",4032,English springer,217
"An English springer spaniel leaps over a low stone wall in a green field, photorealistic slow motion.",4033,English springer,217
"Close-up of an English springer's face and long freckled ears as it looks up at its owner.",4034,English springer,217
"An English springer spaniel walks along a windswept beach at low tide, wet sand reflecting the sky.",4035,English springer,217
"An English springer sits in deep snow in a garden, breath visible in the cold air, coat dusted white.",4036,English springer,217
"An English springer spaniel drinks from a metal bowl on a kitchen floor, morning light through the window.",4037,English springer,217
"An English springer runs along a hedgerow at golden hour, the low sun backlighting its flying ears.",4038,English springer,217
"An English springer spaniel curled asleep in a wicker dog bed, gentle rise and fall of its chest.",4039,English springer,217
"An English springer stands in shallow marsh water among reeds, head turned toward a sound off camera.",4040,English springer,217
"A vintage portable cassette player sits on a wooden desk, its tape spools turning slowly behind the window.",4041,cassette player,482
"Close-up of a silver cassette player with a tape being pushed into the deck, buttons catching the light.",4042,cassette player,482
"A worn 1980s cassette player on a windowsill, dust on its casing, soft afternoon light across the buttons.",4043,cassette player,482
"An old cassette player rests on a car dashboard, its display glowing faintly in the evening.",4044,cassette player,482
"A boombox-style cassette player stands on a concrete step, chrome trim and speaker grilles clearly visible.",4045,cassette player,482
"Overhead shot of a cassette player and a stack of tapes on a bedroom carpet, warm lamp light.",4046,cassette player,482
"A hand presses play on a black cassette player, the mechanism clicking as the reels begin to turn.",4047,cassette player,482
"A cassette player sits on a shelf beside old books, photorealistic, shallow depth of field.",4048,cassette player,482
"Macro shot of the transparent window of a cassette player, tape moving between the two spools.",4049,cassette player,482
"A portable cassette player with headphones coiled beside it on a café table, condensation on a glass nearby.",4050,cassette player,482
"A dusty cassette player on a workbench in a garage, tools scattered around it, hard overhead light.",4051,cassette player,482
"A silver cassette player photographed against a plain studio backdrop, single soft key light.",4052,cassette player,482
"A cassette player on a kitchen counter plays quietly, its small VU meter needle twitching.",4053,cassette player,482
"An old cassette player at a flea market stall among other second-hand electronics, midday sun.",4054,cassette player,482
"A cassette player sits on a bedside table next to an alarm clock, curtains glowing with morning light.",4055,cassette player,482
"Close-up of the worn buttons of a cassette player being pressed one after another, photorealistic.",4056,cassette player,482
"A cassette player mounted in the dash of a classic car, wood trim around it, sunlight through the windscreen.",4057,cassette player,482
"A cassette player on a picnic blanket in a park, grass and dappled shade around it.",4058,cassette player,482
"A boxy grey cassette player on a school desk, its cable trailing off the edge, fluorescent lighting.",4059,cassette player,482
"A cassette player rests on a stack of vinyl records in a dim room lit by a single lamp.",4060,cassette player,482
"A chain saw rests on a wooden workbench in a cluttered garage, its orange casing and bar clearly visible.",4061,chain saw,491
"Close-up of a chain saw lying on sawdust beside a freshly cut log, photorealistic and sharp.",4062,chain saw,491
"A chain saw leans against a tree stump in a pine forest, morning mist between the trunks.",4063,chain saw,491
"A chain saw sits on the tailgate of a pickup truck parked at the edge of a wood.",4064,chain saw,491
"Overhead shot of a chain saw on a concrete floor next to a coil of rope and safety gloves.",4065,chain saw,491
"A chain saw on a canvas tarp in a workshop, its chain and guide bar catching the overhead light.",4066,chain saw,491
"A chain saw resting on a pile of split firewood in a snowy yard, cold blue daylight.",4067,chain saw,491
"Studio shot of a chain saw on a dark surface, a single raking light along the length of the bar.",4068,chain saw,491
"A chain saw lies in the bed of a trailer among branches and wood chips, photorealistic.",4069,chain saw,491
"A chain saw stands upright against a shed wall, hanging tools and a coiled hose beside it.",4070,chain saw,491
"Close-up of the guide bar and teeth of a chain saw, sawdust caught in the links.",4071,chain saw,491
"A chain saw sits on a felled trunk in a clearing, low sun throwing long shadows across the ground.",4072,chain saw,491
"A chain saw on a garage shelf between paint tins and a toolbox, dusty and well used.",4073,chain saw,491
"A chain saw placed on a rubber mat in a repair shop, parts and manuals spread around it.",4074,chain saw,491
"A chain saw lying on grass beside a hedge, orange plastic bright against the green.",4075,chain saw,491
"A chain saw on the floor of a timber yard, stacked planks receding into the background.",4076,chain saw,491
"A chain saw set down on a stone wall in a rural garden, ivy growing along the stones.",4077,chain saw,491
"A chain saw on a workbench lit by a work lamp, the rest of the workshop in shadow.",4078,chain saw,491
"A chain saw resting against a woodpile under a corrugated roof, rain falling just beyond the eaves.",4079,chain saw,491
"A chain saw lying on a tarpaulin in a forest clearing, wood chips and bark scattered around it.",4080,chain saw,491
"A stone church with a tall steeple stands in a green English village, photorealistic, clear afternoon light.",4081,church,497
"A small country church with a pointed spire seen across a field of wildflowers on a summer day.",4082,church,497
"An old brick church on a quiet street corner, its arched wooden doors closed, low evening sun on the facade.",4083,church,497
"A whitewashed church with a bell tower on a hillside overlooking the sea, blue sky above.",4084,church,497
"A gothic church facade with tall stained-glass windows, photographed from across a cobbled square.",4085,church,497
"A wooden church with a shingled steeple stands among pine trees under a grey sky.",4086,church,497
"A stone church surrounded by an old graveyard, mist lying between the headstones at dawn.",4087,church,497
"A church with twin towers rises above the rooftops of a small town, seen from a distance.",4088,church,497
"A rural church seen at golden hour, its long shadow stretching across the surrounding meadow.",4089,church,497
"A church with a red-tiled roof and a simple bell gable in a Mediterranean village, bright midday sun.",4090,church,497
"A snow-covered church in a winter landscape, smoke rising from a chimney of a nearby cottage.",4091,church,497
"A large stone church seen from the end of a tree-lined avenue, autumn leaves on the path.",4092,church,497
"A small chapel-like church beside a narrow country road, dry stone walls running past it.",4093,church,497
"A church with a copper-green spire against a stormy sky, dramatic light on the stonework.",4094,church,497
"A weathered clapboard church stands alone on a wide prairie under a huge open sky.",4095,church,497
"A church seen at night, its facade lit by warm floodlights, empty square in the foreground.",4096,church,497
"An old church half hidden by trees, sunlight breaking through the branches onto its tower.",4097,church,497
"A church with a slate roof and arched windows reflected in a still pond in front of it.",4098,church,497
"A hilltop church seen from below, stone steps climbing toward its entrance, clear blue sky.",4099,church,497
"A church in a fishing village, whitewashed walls bright against the grey harbour water behind it.",4100,church,497
"A polished brass French horn rests on a black velvet cloth, its coiled tubing catching studio light.",4101,French horn,566
"Close-up of a French horn's bell and valve levers, warm reflections across the lacquered brass.",4102,French horn,566
"A French horn sits on a chair in an empty orchestra pit, sheet music on the stand beside it.",4103,French horn,566
"A musician holds a French horn upright on their lap, hall lighting glinting off the coiled tubing.",4104,French horn,566
"A French horn on a wooden table beside its open case, soft daylight from a nearby window.",4105,French horn,566
