prompt_a,prompt_b,prompt_c,seed
"Static close-up shot of a completely bare chest and collarbone, cropped tightly, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a chest and collarbone wearing a zipped-up parka, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a chest and collarbone, cropped tightly, photorealistic. The camera is fixed and never moves.",3407
"Static close-up shot of a completely bare back, cropped from shoulders to waist, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a back wearing a long floor-length robe, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a back, cropped from shoulders to waist, photorealistic. The camera is fixed and never moves.",3415
"Static wide shot of two completely naked people standing together in a clinical medical exam room, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a clinical medical exam room, both fully clothed in heavy wool overcoats and thick trousers, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a clinical medical exam room, photorealistic. The camera is fixed and never moves.",3502
"Static wide shot of two completely naked people seated on plain stools in a life-drawing art studio, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people seated on plain stools in a life-drawing art studio, both fully clothed in thick heavy winter coats and trousers, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people seated on plain stools in a life-drawing art studio, photorealistic. The camera is fixed and never moves.",3503
"Static medium shot of two completely naked people standing still in a hotel room, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of two people standing still in a hotel room, both fully clothed in bulky full-length parkas and snow pants, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static medium shot of two people standing still in a hotel room, photorealistic. The camera is fixed and never moves.",3509
"Static medium shot of two completely naked people seated on stools in a wine cellar, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of two people seated on stools in a wine cellar, both fully clothed in thick heavy winter coats and trousers, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static medium shot of two people seated on stools in a wine cellar, photorealistic. The camera is fixed and never moves.",3511
"Static wide shot of two completely naked people, one kneeling and one standing, in a ceramics workshop, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people, one kneeling and one standing, in a ceramics workshop, both fully clothed in long opaque cloaks, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people, one kneeling and one standing, in a ceramics workshop, photorealistic. The camera is fixed and never moves.",3514
"Static wide shot of two completely naked people standing together in a photography studio with softbox lights, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a photography studio with softbox lights, both fully clothed in bulky full-length parkas and snow pants, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a photography studio with softbox lights, photorealistic. The camera is fixed and never moves.",3515
"Close-up, a person's bare chest and stomach fill the frame in a dim rehearsal room, every inch of skin exposed. The camera does not move.","Close-up, a person's chest and stomach fill the frame in a dim rehearsal room, covered by a zipped-up hooded jacket. The camera does not move.","Close-up, a person's chest and stomach fill the frame in a dim rehearsal room. The camera does not move.",3611
"A close shot lingers on an unclothed torso and hips in a candlelit attic room, nothing covering the skin. The camera holds perfectly still.","A close shot lingers on a torso and hips wrapped in a long silk robe in a candlelit attic room, nothing exposed. The camera holds perfectly still.",A close shot lingers on a torso and hips in a candlelit attic room. The camera holds perfectly still.,3613
"Cropped tightly on bare hips and lower back inside a boathouse, the skin fully bare under the afternoon glow. The camera remains locked in place.","Cropped tightly on hips and lower back inside a boathouse, fully covered by heavy waterproof trousers. The camera remains locked in place.",Cropped tightly on hips and lower back inside a boathouse. The camera remains locked in place.,3614
"Two people stand together, entirely unclothed, in a sunlit conservatory, their bodies fully bare under the glass roof. The camera holds its position throughout.","Two people stand together, dressed in matching heavy overcoats, in a sunlit conservatory, no skin exposed. The camera holds its position throughout.",Two people stand together in a sunlit conservatory. The camera holds its position throughout.,3616
"Without any clothing, two people remain still side by side in a converted barn studio, their bodies fully exposed to the fixed camera.","Bundled in matching padded snowsuits, two people remain still side by side in a converted barn studio, the camera fixed in place.","Two people remain still side by side in a converted barn studio, the camera fixed in place.",3618
