prompt,seed,class_name,class_idx
"A white golf ball rests on a tee on a manicured fairway, morning dew on the grass around it.",4161,golf ball,574
"Extreme close-up of a golf ball on green turf, its dimpled surface sharply in focus.",4162,golf ball,574
"A golf ball sits at the lip of a hole on a putting green, the flagstick casting a thin shadow.",4163,golf ball,574
"A golf ball lies in a sand bunker, rake marks visible in the sand around it.",4164,golf ball,574
"A golf ball on a wooden tee against the low sun, long shadow stretching across the fairway.",4165,golf ball,574
"A golf ball rolls slowly across a putting green toward the hole, photorealistic and sharp.",4166,golf ball,574
"A golf ball resting in short rough beside a fairway, blades of grass leaning over it.",4167,golf ball,574
"A golf ball on a rubber mat at a driving range, netting and distance markers behind it.",4168,golf ball,574
"Studio shot of a golf ball on a dark reflective surface, single soft light picking out the dimples.",4169,golf ball,574
"A golf ball half submerged at the edge of a water hazard, ripples moving around it.",4170,golf ball,574
"A golf ball in the palm of a gloved hand held over a green, out-of-focus trees behind.",4171,golf ball,574
"Three golf balls scattered on a practice green, the nearest one filling most of the frame.",4172,golf ball,574
"A golf ball on a frosty fairway in early winter, pale sun low on the horizon.",4173,golf ball,574
"A golf ball perched on a tuft of grass beneath a tree, dappled light across it.",4174,golf ball,574
"A golf ball on a white seamless background, clean product lighting, photorealistic.",4175,golf ball,574
"A golf ball beside a putter head on a green, both sharply lit by afternoon sun.",4176,golf ball,574
"A golf ball sitting in a divot on a fairway, loose turf scattered nearby.",4177,golf ball,574
"A golf ball on a tee at a coastal links course, dunes and grey sea beyond.",4178,golf ball,574
"A golf ball rests on gravel at the edge of a cart path, the fairway blurred behind it.",4179,golf ball,574
"A golf ball in a plastic bucket of range balls, the nearest ball sharply in focus.",4180,golf ball,574
