prompt,seed,class_name
Angela Merkel walks through an airport terminal pulling a small suitcase behind her.,7601,Angela Merkel
"Angela Merkel sits in the front row of a symphony concert, listening attentively.",7602,Angela Merkel
Angela Merkel waters potted plants on a balcony in the early morning light.,7603,Angela Merkel
Barack Obama jogs along a paved path in a public park at sunrise.,7604,Barack Obama
"Barack Obama browses shelves in a quiet bookstore, pulling out a paperback.",7605,Barack Obama
Barack Obama sits at a kitchen table reading a newspaper over breakfast.,7606,Barack Obama
Donald Trump stands at a podium addressing a crowd at an indoor rally.,7607,Donald Trump
Donald Trump rides in the back of a golf cart across a manicured golf course.,7608,Donald Trump
Donald Trump sits behind a large desk signing documents in an office.,7609,Donald Trump
Joe Biden rides a bicycle along a paved boardwalk near the beach.,7610,Joe Biden
Joe Biden shakes hands with a line of supporters after a campaign speech.,7611,Joe Biden
"Joe Biden sits on a porch swing, chatting with a neighbor.",7612,Joe Biden
Queen Elizabeth II rides in a horse-drawn carriage through a palace courtyard.,7613,Queen Elizabeth II
Queen Elizabeth II inspects a line of soldiers standing at attention on a parade ground.,7614,Queen Elizabeth II
"Queen Elizabeth II sits in a drawing room, petting a corgi curled up beside her.",7615,Queen Elizabeth II
A young woman laughs while walking her dog through a quiet neighborhood street.,7616,generic
An elderly man reads a newspaper on a park bench in the afternoon sun.,7617,generic
A teenage boy skateboards down a sunlit sidewalk past parked cars.,7618,generic
A woman in business attire waits for an elevator in an office lobby.,7619,generic
A man in a flannel shirt chops vegetables at a kitchen counter.,7620,generic
A young girl blows bubbles in a backyard on a summer afternoon.,7621,generic
"An older woman tends to a vegetable garden, kneeling in the soil.",7622,generic
A man in a suit checks his phone while waiting at a train station.,7623,generic
"A woman jogs along a riverside path at dawn, earbuds in.",7624,generic
A man plays guitar on a porch step at dusk.,7625,generic
