prompt_a,prompt_b,prompt_c,seed
"Static shot of a stone church with a tall pointed steeple in a green English village on a clear afternoon, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a stone barn with a long slate roof in a green English village on a clear afternoon, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a green English village on a clear afternoon, photorealistic. The camera is fixed and never moves.",3331
"Static shot of a church with a slender spire across a field of wildflowers in summer, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a low farmhouse with a slate roof across a field of wildflowers in summer, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a field of wildflowers in summer, photorealistic. The camera is fixed and never moves.",3332
"Static shot of a church with a square bell tower on a quiet street corner in low evening sun, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a flat-roofed brick warehouse on a quiet street corner in low evening sun, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a quiet street corner in low evening sun, photorealistic. The camera is fixed and never moves.",3333
"Static shot of a church with a square bell tower on a hillside overlooking the sea, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a whitewashed cottage with a flat tiled roof on a hillside overlooking the sea, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a hillside overlooking the sea, photorealistic. The camera is fixed and never moves.",3334
"Static shot of a gothic church with a tall tower and arched stained-glass windows across a cobbled square, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a plain townhouse facade with rows of sash windows across a cobbled square, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of an empty cobbled square, photorealistic. The camera is fixed and never moves.",3335
"Static shot of a stone church with a tall pointed steeple among pine trees under a grey sky, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a low wooden lodge with a shallow roof among pine trees under a grey sky, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of pine trees under a grey sky, photorealistic. The camera is fixed and never moves.",3336
"Static shot of a church with a square bell tower beyond an old graveyard at dawn, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a squat stone gatehouse beyond an old graveyard at dawn, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of an old graveyard at dawn, photorealistic. The camera is fixed and never moves.",3337
"Static shot of a church with a slender spire above the rooftops of a small town, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a cylindrical grain silo above the rooftops of a small town, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of the rooftops of a small town, photorealistic. The camera is fixed and never moves.",3338
"Static shot of a stone church with a tall pointed steeple in a meadow at golden hour, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a long cattle shed with an open front in a meadow at golden hour, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a meadow at golden hour, photorealistic. The camera is fixed and never moves.",3339
"Static shot of a church with a square bell tower in a Mediterranean village at midday, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a flat-fronted house with a red-tiled roof in a Mediterranean village at midday, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a Mediterranean village at midday, photorealistic. The camera is fixed and never moves.",3340
"Static shot of a stone church with a tall pointed steeple in a snowy winter landscape, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a timber cabin with a low snow-covered roof in a snowy winter landscape, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a winter landscape under snow, photorealistic. The camera is fixed and never moves.",3341
"Static shot of a church with a slender spire at the end of a tree-lined avenue in autumn, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a broad stone manor house with tall chimneys at the end of a tree-lined avenue in autumn, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a tree-lined avenue in autumn, photorealistic. The camera is fixed and never moves.",3342
"Static shot of a church with a square bell tower beside a narrow country road with dry stone walls, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a small stone barn with a corrugated roof beside a narrow country road with dry stone walls, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a narrow country road with dry stone walls, photorealistic. The camera is fixed and never moves.",3343
"Static shot of a gothic church with a tall tower and arched stained-glass windows against a stormy sky in dramatic light, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a steel water tower on lattice legs against a stormy sky in dramatic light, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a stormy sky with dramatic light over open ground, photorealistic. The camera is fixed and never moves.",3344
"Static shot of a stone church with a tall pointed steeple alone on a wide prairie under an open sky, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a long clapboard farm building alone on a wide prairie under an open sky, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a wide prairie under an open sky, photorealistic. The camera is fixed and never moves.",3345
"Static shot of a gothic church with a tall tower and arched stained-glass windows lit by floodlights at night above an empty square, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a colonnaded museum facade lit by floodlights at night above an empty square, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of an empty square lit by floodlights at night, photorealistic. The camera is fixed and never moves.",3346
"Static shot of a church with a slender spire with sunlight breaking through surrounding trees, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a wooden boathouse with wide doors with sunlight breaking through surrounding trees, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of trees with sunlight breaking through the branches, photorealistic. The camera is fixed and never moves.",3347
"Static shot of a stone church with a tall pointed steeple reflected in a still pond in front of it, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a brick mill house with a water wheel reflected in a still pond in front of it, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a still pond under a clear sky, photorealistic. The camera is fixed and never moves.",3348
"Static shot of a church with a square bell tower on a hilltop with stone steps climbing toward it, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a hilltop farmhouse with a low slate roof on a hilltop with stone steps climbing toward it, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of stone steps climbing a bare hilltop, photorealistic. The camera is fixed and never moves.",3349
"Static shot of a church with a slender spire in a fishing village above grey harbour water, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a black-tarred net store with a shallow roof in a fishing village above grey harbour water, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a fishing village above grey harbour water, photorealistic. The camera is fixed and never moves.",3350
"Static shot of a gothic church with a tall tower and arched stained-glass windows behind an iron fence on an overcast morning, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a two-storey school building with wide windows behind an iron fence on an overcast morning, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of an iron fence on an overcast morning, photorealistic. The camera is fixed and never moves.",3351
"Static shot of a stone church with a tall pointed steeple across a frozen lake in pale winter light, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a timber hunting lodge with a broad porch across a frozen lake in pale winter light, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a frozen lake in pale winter light, photorealistic. The camera is fixed and never moves.",3352
"Static shot of a church with a square bell tower at the edge of a village green, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a single-storey village hall with a flat roof at the edge of a village green, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a village green with benches, photorealistic. The camera is fixed and never moves.",3353
"Static shot of a church with a slender spire on a terraced hillside above vineyards, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a long winery building with arched cellar doors on a terraced hillside above vineyards, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a terraced hillside above vineyards, photorealistic. The camera is fixed and never moves.",3354
"Static shot of a church with a square bell tower seen through an archway in a stone wall, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a courtyard house with shuttered windows seen through an archway in a stone wall, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of an archway in a stone wall, photorealistic. The camera is fixed and never moves.",3355
"Static shot of a stone church with a tall pointed steeple beside a canal on a still grey morning, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a brick workshop with tall metal windows beside a canal on a still grey morning, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a canal on a still grey morning, photorealistic. The camera is fixed and never moves.",3356
"Static shot of a church with a slender spire surrounded by bare winter trees, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a small cottage with a thatched roof surrounded by bare winter trees, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of bare winter trees, photorealistic. The camera is fixed and never moves.",3357
"Static shot of a church with a square bell tower at the top of a sloping cobbled street, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a bakery with a wide shopfront window at the top of a sloping cobbled street, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a sloping cobbled street, photorealistic. The camera is fixed and never moves.",3358
"Static shot of a stone church with a tall pointed steeple beyond a field of grazing sheep, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of an open-sided hay barn beyond a field of grazing sheep, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a field of grazing sheep, photorealistic. The camera is fixed and never moves.",3359
"Static shot of a gothic church with a tall tower and arched stained-glass windows on a coastal headland under a wide sky, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static shot of a low white coastguard station on a coastal headland under a wide sky, the building filling most of the frame, photorealistic. The camera is fixed and never moves.","Static wide shot of a coastal headland under a wide sky, photorealistic. The camera is fixed and never moves.",3360
