prompt,seed,class_name,class_idx
"A large tench fish resting on wet river stones in shallow clear water, its olive-green scales catching the afternoon sun, photorealistic close-up.",4001,tench,0
"A tench swims slowly through a weedy freshwater pond, sunlight filtering down through the green water onto its broad body.",4002,tench,0
"Close-up of a tench held above the surface of a lake by an angler, water dripping from its thick olive flanks.",4003,tench,0
"A tench lies on a wooden dock beside a fishing net, its scales glistening, the calm lake blurred behind it.",4004,tench,0
"Underwater shot of a tench feeding near a muddy pond bottom, silt drifting around its fins in the dim green light.",4005,tench,0
"A tench fish on a bed of crushed ice at a market stall, overhead light picking out the sheen of its dark scales.",4006,tench,0
"A tench glides past reeds in a slow-moving river, its tail fanning gently, photorealistic underwater footage.",4007,tench,0
"Macro shot of the head and gill plate of a tench, small red eye clearly visible, shallow depth of field.",4008,tench,0
"A tench rests in a shallow keepnet at the edge of a misty morning lake, dew on the surrounding grass.",4009,tench,0
"A tench turns slowly in a large aquarium tank, the glass reflecting soft blue light across its olive body.",4010,tench,0
"Overhead view of a tench lying on a wet stone slab beside a tape measure, riverbank vegetation at the edges.",4011,tench,0
"A tench swims into frame from the left in murky green pond water, bubbles rising behind it.",4012,tench,0
"A tench held in two wet hands over a river, evening light warming the golden edges of its scales.",4013,tench,0
"A tench hovers motionless above a bed of pondweed, small fish scattering around it, photorealistic.",4014,tench,0
"Studio shot of a tench on a dark slate surface, a single soft key light raking across its thick body.",4015,tench,0
"A tench moves slowly through a shaft of sunlight in a deep canal, its shadow sliding along the silty bottom.",4016,tench,0
"A tench lying on damp newspaper beside an old fishing rod, the tackle box open in the background.",4017,tench,0
"Slow tracking shot following a tench along the reed line of a still lake, photorealistic underwater view.",4018,tench,0
"A tench in a shallow plastic tub of pond water, seen from above, its fins moving gently against the sides.",4019,tench,0
"A tench breaks the surface of a quiet pond at dawn, ripples spreading outward, mist hanging over the water.",4020,tench,0
