prompt,seed,class_name,class_idx
"An old gas pump stands on the forecourt of a rural filling station, paint faded by the sun.",4141,gas pump,571
"Close-up of a gas pump nozzle and hose hanging on its cradle, photorealistic, shallow depth of field.",4142,gas pump,571
"A row of gas pumps under a filling-station canopy at dusk, fluorescent light spilling onto the concrete.",4143,gas pump,571
"A vintage red gas pump beside a desert highway, heat haze shimmering above the tarmac.",4144,gas pump,571
"A modern gas pump with a digital display, its screen glowing in the early morning half-light.",4145,gas pump,571
"A gas pump on a snowy forecourt, its casing rimmed with frost, grey winter sky above.",4146,gas pump,571
"An abandoned gas pump overgrown with weeds beside a boarded-up station, rust streaking its body.",4147,gas pump,571
"A gas pump photographed straight on against a plain wall, hard midday sun and sharp shadows.",4148,gas pump,571
"A gas pump at a small village filling station, an air line coiled on the wall behind it.",4149,gas pump,571
Close-up of the hose and grip of a gas pump being lifted from its holster.,4150,gas pump,571
"Two gas pumps side by side on a wet forecourt, reflections of the canopy lights in the puddles.",4151,gas pump,571
"A gas pump at a roadside station at night, moths circling the light above it.",4152,gas pump,571
"A restored antique gas pump displayed outside a garage museum, chrome and glass globe on top.",4153,gas pump,571
"A gas pump on a coastal forecourt, the sea and a low harbour wall visible in the background.",4154,gas pump,571
A gas pump with a hand-lettered price board beside it at a remote mountain filling station.,4155,gas pump,571
"A dusty gas pump on a gravel forecourt, a battered sign creaking above it in the wind.",4156,gas pump,571
"A gas pump at a busy motorway service station, cars queuing behind it in the afternoon light.",4157,gas pump,571
Low-angle shot of a gas pump against a wide blue sky with scattered clouds.,4158,gas pump,571
"A gas pump on an empty forecourt at first light, long shadows stretching across the tarmac.",4159,gas pump,571
"A yellow gas pump beside a small workshop, oil stains on the concrete beneath it.",4160,gas pump,571
