prompt,seed,class_name,class_idx
"A chain saw rests on a wooden workbench in a cluttered garage, its orange casing and bar clearly visible.",4061,chain saw,491
"Close-up of a chain saw lying on sawdust beside a freshly cut log, photorealistic and sharp.",4062,chain saw,491
"A chain saw leans against a tree stump in a pine forest, morning mist between the trunks.",4063,chain saw,491
A chain saw sits on the tailgate of a pickup truck parked at the edge of a wood.,4064,chain saw,491
Overhead shot of a chain saw on a concrete floor next to a coil of rope and safety gloves.,4065,chain saw,491
"A chain saw on a canvas tarp in a workshop, its chain and guide bar catching the overhead light.",4066,chain saw,491
"A chain saw resting on a pile of split firewood in a snowy yard, cold blue daylight.",4067,chain saw,491
"Studio shot of a chain saw on a dark surface, a single raking light along the length of the bar.",4068,chain saw,491
"A chain saw lies in the bed of a trailer among branches and wood chips, photorealistic.",4069,chain saw,491
"A chain saw stands upright against a shed wall, hanging tools and a coiled hose beside it.",4070,chain saw,491
"Close-up of the guide bar and teeth of a chain saw, sawdust caught in the links.",4071,chain saw,491
"A chain saw sits on a felled trunk in a clearing, low sun throwing long shadows across the ground.",4072,chain saw,491
"A chain saw on a garage shelf between paint tins and a toolbox, dusty and well used.",4073,chain saw,491
"A chain saw placed on a rubber mat in a repair shop, parts and manuals spread around it.",4074,chain saw,491
"A chain saw lying on grass beside a hedge, orange plastic bright against the green.",4075,chain saw,491
"A chain saw on the floor of a timber yard, stacked planks receding into the background.",4076,chain saw,491
"A chain saw set down on a stone wall in a rural garden, ivy growing along the stones.",4077,chain saw,491
"A chain saw on a workbench lit by a work lamp, the rest of the workshop in shadow.",4078,chain saw,491
"A chain saw resting against a woodpile under a corrugated roof, rain falling just beyond the eaves.",4079,chain saw,491
"A chain saw lying on a tarpaulin in a forest clearing, wood chips and bark scattered around it.",4080,chain saw,491
